,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
0,1,5.0,3.0,8.0,20.0,8.0,2.0,14.0,35.0,5.0,6.0,9.0,9.0,0.7818181818181819,0.9454545454545455,2
1,2,7.0,1.0,7.0,16.0,3.0,7.0,9.0,39.0,11.0,6.0,8.0,4.0,0.18181818181818182,0.43636363636363634,1
2,3,5.0,2.0,18.0,11.0,6.0,2.0,12.0,26.0,6.0,5.0,17.0,11.0,0.9272727272727272,1.2,2
3,4,6.0,3.0,3.0,17.0,4.0,3.0,12.0,32.0,8.0,4.0,13.0,7.0,0.6909090909090909,1.0727272727272728,2
4,5,4.0,4.0,12.0,20.0,7.0,2.0,9.0,31.0,6.0,2.0,14.0,10.0,0.8363636363636363,1.1818181818181817,2
5,6,9.0,1.0,13.0,13.0,10.0,4.0,5.0,35.0,7.0,6.0,14.0,11.0,0.6,0.9272727272727272,2
6,7,12.0,2.0,6.0,23.0,7.0,2.0,12.0,25.0,1.0,5.0,16.0,6.0,0.9818181818181818,1.5272727272727273,2
7,8,6.0,3.0,13.0,13.0,6.0,3.0,8.0,37.0,9.0,4.0,15.0,4.0,0.36363636363636365,1.1272727272727274,1
8,9,9.0,1.0,11.0,19.0,4.0,4.0,9.0,33.0,7.0,4.0,6.0,8.0,0.7090909090909091,0.9090909090909092,2
9,10,7.0,2.0,9.0,16.0,6.0,3.0,9.0,37.0,9.0,5.0,14.0,7.0,0.4727272727272727,0.8363636363636364,1
10,11,8.0,2.0,6.0,16.0,5.0,4.0,15.0,36.0,10.0,7.0,11.0,8.0,0.6181818181818182,0.7090909090909091,2
11,12,1.0,3.0,12.0,20.0,3.0,3.0,12.0,26.0,3.0,6.0,12.0,9.0,0.9454545454545454,1.4545454545454546,2
12,13,6.0,4.0,14.0,18.0,7.0,2.0,11.0,24.0,2.0,4.0,15.0,10.0,0.9636363636363636,1.2545454545454544,2
13,14,5.0,1.0,14.0,12.0,6.0,1.0,7.0,33.0,9.0,10.0,18.0,11.0,0.7454545454545455,1.2,2
14,15,4.0,4.0,10.0,23.0,5.0,3.0,9.0,31.0,4.0,8.0,15.0,8.0,0.8909090909090909,0.9454545454545454,2
15,16,8.0,1.0,10.0,20.0,7.0,2.0,14.0,23.0,4.0,6.0,12.0,13.0,1.0,1.1818181818181819,2
16,17,4.0,2.0,14.0,20.0,1.0,1.0,7.0,28.0,9.0,5.0,13.0,10.0,0.9090909090909091,1.690909090909091,2
17,18,10.0,8.0,10.0,18.0,2.0,3.0,8.0,29.0,5.0,4.0,10.0,9.0,0.7636363636363637,1.7454545454545456,2
18,19,2.0,3.0,4.0,16.0,10.0,5.0,14.0,41.0,6.0,5.0,13.0,10.0,0.6363636363636364,0.6727272727272727,2
19,20,4.0,4.0,15.0,13.0,8.0,4.0,10.0,39.0,8.0,5.0,11.0,8.0,0.34545454545454546,0.45454545454545453,1
20,21,5.0,6.0,7.0,19.0,7.0,3.0,14.0,36.0,5.0,6.0,8.0,11.0,0.7272727272727273,0.8545454545454545,2
21,22,7.0,5.0,14.0,16.0,2.0,3.0,8.0,28.0,4.0,4.0,9.0,8.0,0.8,1.8,2
22,23,13.0,2.0,5.0,17.0,4.0,5.0,7.0,36.0,7.0,6.0,14.0,8.0,0.5818181818181818,0.8909090909090909,2
23,24,6.0,3.0,11.0,19.0,7.0,3.0,10.0,31.0,5.0,7.0,15.0,8.0,0.8181818181818182,0.8363636363636364,2
24,25,11.0,6.0,11.0,19.0,3.0,0.0,3.0,28.0,7.0,4.0,14.0,11.0,0.8727272727272727,1.4727272727272727,2
25,26,4.0,3.0,11.0,17.0,7.0,2.0,12.0,29.0,5.0,3.0,12.0,10.0,0.8545454545454545,1.3818181818181818,2
26,27,11.0,4.0,8.0,9.0,2.0,3.0,7.0,39.0,12.0,6.0,14.0,10.0,0.01818181818181818,0.6363636363636364,1
27,28,2.0,5.0,4.0,3.0,3.0,4.0,2.0,26.0,8.0,5.0,9.0,2.0,0.16363636363636364,0.3090909090909091,1
28,29,2.0,2.0,16.0,6.0,1.0,11.0,9.0,43.0,18.0,4.0,13.0,8.0,0.509090909090909,1.418181818181818,1
29,30,1.0,6.0,10.0,3.0,1.0,12.0,4.0,53.0,21.0,7.0,9.0,10.0,0.07272727272727272,0.5636363636363636,1
30,31,3.0,5.0,11.0,3.0,2.0,4.0,12.0,45.0,28.0,4.0,17.0,9.0,0.6545454545454545,1.2181818181818183,1
31,32,0.0,6.0,15.0,4.0,2.0,9.0,9.0,48.0,24.0,4.0,12.0,12.0,0.45454545454545453,1.2545454545454546,1
32,33,0.0,8.0,16.0,4.0,2.0,10.0,10.0,46.0,17.0,7.0,12.0,12.0,0.2727272727272727,0.9090909090909091,1
33,34,1.0,4.0,14.0,3.0,6.0,14.0,9.0,54.0,22.0,3.0,11.0,8.0,0.2909090909090909,0.709090909090909,1
