,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
0,1,6.0,2.0,15.0,9.0,6.0,4.0,4.0,37.0,18.0,3.0,15.0,11.0,0.41818181818181815,0.49090909090909085,1
1,2,12.0,7.0,16.0,6.0,5.0,5.0,4.0,45.0,19.0,5.0,5.0,9.0,0.05454545454545454,0.4545454545454546,1
2,3,15.0,2.0,15.0,14.0,3.0,6.0,6.0,30.0,12.0,3.0,12.0,5.0,0.7454545454545455,0.8909090909090909,1
3,4,12.0,7.0,15.0,8.0,1.0,6.0,9.0,28.0,7.0,5.0,13.0,11.0,0.7090909090909091,0.8363636363636364,1
4,5,13.0,6.0,19.0,10.0,3.0,6.0,2.0,39.0,16.0,3.0,11.0,6.0,0.36363636363636365,0.8909090909090909,1
5,6,12.0,3.0,10.0,12.0,1.0,5.0,5.0,40.0,22.0,3.0,8.0,10.0,0.23636363636363636,1.1272727272727272,1
6,7,9.0,6.0,13.0,13.0,8.0,6.0,4.0,42.0,17.0,0.0,13.0,6.0,0.14545454545454545,0.6545454545454545,1
7,8,11.0,6.0,14.0,8.0,3.0,6.0,9.0,32.0,9.0,2.0,13.0,9.0,0.3090909090909091,1.2727272727272727,1
8,9,12.0,5.0,14.0,8.0,3.0,7.0,4.0,42.0,13.0,9.0,7.0,8.0,0.01818181818181818,0.6363636363636364,1
9,10,4.0,2.0,10.0,10.0,8.0,7.0,6.0,48.0,17.0,6.0,13.0,9.0,0.07272727272727272,0.9272727272727272,1
10,11,8.0,2.0,17.0,8.0,6.0,5.0,3.0,41.0,17.0,2.0,12.0,10.0,0.2,0.2545454545454546,1
11,12,14.0,3.0,12.0,6.0,3.0,6.0,4.0,40.0,20.0,3.0,7.0,9.0,0.21818181818181817,0.8909090909090909,1
12,13,8.0,4.0,11.0,11.0,3.0,3.0,6.0,39.0,15.0,9.0,17.0,8.0,0.18181818181818182,0.5272727272727273,1
13,14,16.0,3.0,12.0,13.0,6.0,2.0,4.0,33.0,13.0,5.0,10.0,11.0,0.4909090909090909,0.9454545454545454,1
14,15,15.0,5.0,13.0,9.0,3.0,7.0,7.0,35.0,9.0,4.0,7.0,12.0,0.2909090909090909,1.1636363636363636,1
15,16,12.0,5.0,12.0,9.0,7.0,3.0,10.0,31.0,11.0,3.0,11.0,8.0,0.34545454545454546,0.6,1
16,17,10.0,4.0,16.0,11.0,6.0,5.0,1.0,36.0,10.0,3.0,15.0,11.0,0.43636363636363634,1.3636363636363635,1
