,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
0,1,12.0,5.0,4.0,5.0,10.0,5.0,7.0,43.0,5.0,15.0,9.0,18.0,0.2,0.2181818181818182,2
1,2,5.0,4.0,3.0,16.0,5.0,8.0,6.0,36.0,0.0,17.0,13.0,16.0,0.7636363636363637,1.290909090909091,2
2,3,12.0,1.0,9.0,10.0,13.0,6.0,4.0,41.0,3.0,17.0,6.0,15.0,0.18181818181818182,0.6,2
3,4,12.0,3.0,3.0,17.0,4.0,3.0,3.0,39.0,3.0,25.0,10.0,16.0,0.8,1.6545454545454545,2
4,5,13.0,6.0,13.0,11.0,7.0,2.0,11.0,25.0,4.0,7.0,8.0,14.0,0.9454545454545454,1.309090909090909,1
5,6,6.0,4.0,8.0,9.0,10.0,6.0,6.0,37.0,2.0,14.0,16.0,15.0,0.34545454545454546,0.5636363636363636,2
6,7,15.0,3.0,2.0,12.0,6.0,2.0,7.0,32.0,7.0,11.0,15.0,15.0,0.6545454545454545,1.2181818181818183,2
7,8,11.0,2.0,5.0,11.0,6.0,7.0,3.0,40.0,8.0,17.0,13.0,17.0,0.2727272727272727,0.5636363636363636,2
8,9,9.0,2.0,4.0,12.0,6.0,3.0,9.0,27.0,5.0,10.0,12.0,20.0,0.9636363636363636,1.709090909090909,2
9,10,12.0,2.0,8.0,11.0,8.0,5.0,5.0,41.0,2.0,23.0,12.0,11.0,0.6,0.7272727272727273,2
10,11,7.0,3.0,5.0,15.0,8.0,5.0,9.0,37.0,7.0,13.0,10.0,17.0,0.23636363636363636,0.6909090909090909,2
11,12,6.0,4.0,2.0,16.0,6.0,7.0,4.0,37.0,5.0,14.0,14.0,15.0,0.4727272727272727,1.4363636363636363,2
12,13,12.0,3.0,8.0,12.0,11.0,2.0,5.0,36.0,4.0,15.0,9.0,14.0,0.32727272727272727,0.5636363636363636,2
13,14,9.0,14.0,7.0,8.0,6.0,7.0,3.0,52.0,4.0,20.0,6.0,15.0,0.03636363636363636,0.5272727272727272,2
14,15,14.0,7.0,6.0,5.0,8.0,4.0,6.0,39.0,8.0,11.0,12.0,18.0,0.14545454545454545,1.1454545454545455,2
15,16,7.0,4.0,7.0,12.0,1.0,6.0,9.0,32.0,4.0,15.0,12.0,19.0,0.7454545454545455,1.4363636363636365,2
16,17,11.0,4.0,4.0,11.0,12.0,3.0,6.0,34.0,4.0,9.0,10.0,16.0,0.36363636363636365,0.9636363636363636,2
17,18,12.0,2.0,10.0,10.0,6.0,9.0,2.0,38.0,6.0,9.0,10.0,18.0,0.21818181818181817,0.6545454545454545,2
18,19,10.0,4.0,2.0,14.0,3.0,4.0,10.0,36.0,6.0,17.0,10.0,18.0,0.6363636363636364,0.6727272727272727,2
19,20,4.0,2.0,9.0,12.0,10.0,7.0,9.0,42.0,7.0,16.0,10.0,14.0,0.05454545454545454,0.7272727272727273,2
20,21,6.0,1.0,4.0,10.0,5.0,5.0,5.0,31.0,8.0,11.0,20.0,15.0,0.7272727272727273,0.8909090909090909,2
21,22,8.0,2.0,7.0,11.0,8.0,7.0,6.0,37.0,9.0,9.0,10.0,20.0,0.12727272727272726,0.9636363636363636,2
22,23,9.0,4.0,6.0,15.0,9.0,3.0,5.0,38.0,6.0,13.0,9.0,18.0,0.2909090909090909,0.6727272727272727,2
23,24,7.0,4.0,9.0,15.0,9.0,4.0,4.0,36.0,6.0,13.0,9.0,20.0,0.509090909090909,1.0909090909090908,2
24,25,9.0,8.0,3.0,6.0,6.0,2.0,5.0,46.0,5.0,23.0,11.0,18.0,0.4,0.4545454545454546,2
25,26,8.0,3.0,7.0,11.0,9.0,7.0,5.0,41.0,4.0,17.0,12.0,11.0,0.07272727272727272,0.14545454545454545,2
26,27,9.0,5.0,6.0,10.0,6.0,3.0,9.0,31.0,3.0,13.0,10.0,22.0,0.8181818181818182,1.1636363636363636,2
27,28,8.0,3.0,4.0,5.0,6.0,0.0,2.0,15.0,2.0,2.0,4.0,10.0,0.9818181818181818,1.1272727272727272,1
28,29,2.0,5.0,10.0,10.0,6.0,4.0,6.0,29.0,6.0,3.0,19.0,19.0,0.9090909090909091,1.6181818181818182,1
29,30,7.0,8.0,10.0,9.0,6.0,5.0,8.0,30.0,4.0,3.0,12.0,16.0,0.45454545454545453,1.4363636363636363,1
30,31,6.0,8.0,11.0,18.0,11.0,3.0,7.0,34.0,4.0,2.0,6.0,18.0,0.7818181818181819,1.6727272727272728,1
31,32,4.0,3.0,10.0,8.0,10.0,3.0,3.0,33.0,7.0,6.0,20.0,22.0,0.8545454545454545,1.1636363636363636,1
32,33,11.0,8.0,10.0,10.0,9.0,4.0,4.0,33.0,5.0,3.0,15.0,17.0,0.5454545454545454,1.3272727272727272,1
33,34,6.0,3.0,10.0,9.0,13.0,7.0,4.0,31.0,2.0,1.0,19.0,18.0,1.0,1.9454545454545453,1
34,35,11.0,14.0,1.0,10.0,11.0,6.0,6.0,43.0,4.0,5.0,2.0,20.0,0.41818181818181815,1.3272727272727272,1
35,36,9.0,6.0,7.0,9.0,12.0,3.0,4.0,38.0,9.0,3.0,10.0,23.0,0.43636363636363634,0.7636363636363637,1
36,37,11.0,7.0,8.0,9.0,9.0,6.0,5.0,36.0,3.0,4.0,8.0,23.0,0.6181818181818182,1.4909090909090907,1
37,38,8.0,11.0,6.0,8.0,8.0,1.0,2.0,38.0,7.0,5.0,12.0,16.0,0.10909090909090909,0.3636363636363636,1
38,39,3.0,9.0,7.0,8.0,11.0,4.0,7.0,38.0,7.0,1.0,20.0,17.0,0.5636363636363636,1.290909090909091,1
39,40,7.0,10.0,7.0,4.0,9.0,7.0,6.0,46.0,7.0,6.0,12.0,18.0,0.01818181818181818,0.1090909090909091,1
40,41,6.0,13.0,8.0,12.0,8.0,2.0,6.0,37.0,10.0,1.0,16.0,15.0,0.38181818181818183,1.0363636363636364,1
41,42,11.0,11.0,10.0,6.0,6.0,7.0,3.0,38.0,9.0,3.0,18.0,13.0,0.09090909090909091,0.6,1
42,43,10.0,10.0,5.0,12.0,12.0,5.0,4.0,34.0,4.0,2.0,10.0,17.0,0.4909090909090909,0.9636363636363636,1
43,44,10.0,10.0,10.0,5.0,9.0,6.0,5.0,39.0,6.0,6.0,9.0,21.0,0.3090909090909091,0.8545454545454545,1
44,45,11.0,17.0,7.0,6.0,11.0,4.0,3.0,44.0,5.0,2.0,14.0,15.0,0.2545454545454545,1.0727272727272728,1
45,46,8.0,9.0,5.0,7.0,5.0,5.0,5.0,33.0,3.0,3.0,15.0,26.0,0.9272727272727272,1.1272727272727272,1
46,47,9.0,10.0,13.0,9.0,6.0,2.0,3.0,28.0,3.0,2.0,13.0,16.0,0.8727272727272727,1.6727272727272728,1
47,48,8.0,8.0,9.0,6.0,9.0,5.0,6.0,36.0,2.0,6.0,15.0,20.0,0.5272727272727272,1.4545454545454546,1
48,49,14.0,10.0,6.0,12.0,8.0,9.0,4.0,37.0,3.0,3.0,6.0,21.0,0.5818181818181818,1.3454545454545455,1
49,50,6.0,9.0,12.0,4.0,15.0,6.0,3.0,42.0,5.0,1.0,7.0,16.0,0.16363636363636364,0.43636363636363634,1
50,51,5.0,7.0,11.0,5.0,14.0,6.0,6.0,39.0,2.0,3.0,12.0,22.0,0.6727272727272727,0.8545454545454545,1
51,52,11.0,5.0,10.0,12.0,11.0,5.0,1.0,35.0,4.0,5.0,10.0,21.0,0.6909090909090909,0.8,1
52,53,10.0,6.0,9.0,10.0,6.0,3.0,7.0,29.0,6.0,4.0,14.0,21.0,0.8363636363636363,1.4727272727272727,1
53,54,3.0,11.0,5.0,11.0,6.0,5.0,8.0,33.0,3.0,5.0,20.0,20.0,0.8909090909090909,1.290909090909091,1
54,55,8.0,2.0,8.0,12.0,10.0,3.0,2.0,32.0,6.0,7.0,7.0,22.0,0.7090909090909091,1.3272727272727272,2
