,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
0,1,12.0,8.0,4.0,2.0,2.0,16.0,13.0,39.0,9.0,2.0,11.0,9.0,0.34545454545454546,0.6,2
1,2,6.0,6.0,9.0,4.0,3.0,4.0,14.0,37.0,17.0,1.0,18.0,12.0,0.2909090909090909,0.4909090909090909,2
2,3,10.0,8.0,4.0,1.0,4.0,6.0,15.0,34.0,12.0,3.0,13.0,13.0,0.43636363636363634,0.6181818181818182,2
3,4,4.0,13.0,6.0,0.0,1.0,12.0,9.0,48.0,8.0,6.0,17.0,16.0,0.21818181818181817,0.8545454545454545,2
4,5,3.0,8.0,2.0,3.0,4.0,7.0,16.0,41.0,16.0,4.0,25.0,10.0,0.4909090909090909,0.9636363636363636,2
5,6,10.0,5.0,10.0,7.0,2.0,11.0,13.0,28.0,7.0,1.0,25.0,7.0,0.7636363636363637,1.7636363636363637,2
6,7,12.0,5.0,1.0,2.0,4.0,8.0,17.0,40.0,14.0,1.0,12.0,6.0,0.36363636363636365,1.1818181818181819,2
7,8,6.0,6.0,2.0,4.0,4.0,7.0,11.0,40.0,13.0,4.0,22.0,15.0,0.4,1.018181818181818,2
8,9,6.0,7.0,4.0,5.0,4.0,13.0,15.0,41.0,13.0,2.0,23.0,6.0,0.3090909090909091,0.5454545454545454,2
9,10,1.0,4.0,3.0,6.0,2.0,9.0,20.0,36.0,9.0,4.0,15.0,9.0,0.4727272727272727,1.2727272727272727,2
10,11,6.0,8.0,6.0,4.0,3.0,11.0,13.0,38.0,8.0,5.0,23.0,10.0,0.41818181818181815,0.7272727272727273,2
11,12,7.0,8.0,4.0,2.0,5.0,9.0,9.0,44.0,12.0,3.0,22.0,12.0,0.09090909090909091,0.9818181818181818,2
12,13,10.0,10.0,5.0,5.0,5.0,7.0,14.0,37.0,10.0,4.0,20.0,9.0,0.10909090909090909,0.7090909090909091,2
13,14,4.0,9.0,3.0,6.0,7.0,13.0,5.0,48.0,13.0,2.0,18.0,6.0,0.01818181818181818,0.7636363636363637,2
14,15,12.0,6.0,3.0,3.0,4.0,12.0,19.0,42.0,11.0,4.0,8.0,13.0,0.38181818181818183,0.509090909090909,2
15,16,9.0,8.0,4.0,6.0,2.0,11.0,14.0,38.0,9.0,0.0,18.0,11.0,0.2,1.0545454545454545,2
16,17,9.0,12.0,3.0,3.0,2.0,8.0,9.0,40.0,10.0,4.0,19.0,12.0,0.16363636363636364,0.5454545454545454,2
17,18,6.0,7.0,5.0,4.0,2.0,10.0,18.0,35.0,12.0,0.0,17.0,11.0,0.5454545454545454,0.6363636363636364,2
18,19,10.0,4.0,3.0,4.0,4.0,5.0,23.0,31.0,11.0,5.0,19.0,9.0,0.6727272727272727,0.8181818181818181,2
19,20,7.0,7.0,5.0,7.0,6.0,9.0,19.0,39.0,8.0,6.0,13.0,10.0,0.07272727272727272,0.6181818181818182,2
20,21,9.0,16.0,5.0,1.0,5.0,6.0,7.0,45.0,12.0,0.0,18.0,14.0,0.23636363636363636,0.5818181818181818,2
21,22,5.0,6.0,5.0,2.0,3.0,5.0,10.0,38.0,14.0,6.0,19.0,12.0,0.14545454545454545,0.21818181818181817,2
22,23,12.0,4.0,4.0,4.0,4.0,10.0,11.0,46.0,17.0,2.0,13.0,10.0,0.03636363636363636,0.07272727272727272,2
23,24,9.0,5.0,3.0,2.0,4.0,13.0,12.0,43.0,14.0,3.0,14.0,17.0,0.2545454545454545,0.47272727272727266,2
24,25,6.0,6.0,6.0,7.0,6.0,4.0,19.0,34.0,11.0,3.0,17.0,11.0,0.45454545454545453,0.7454545454545454,2
25,26,7.0,8.0,6.0,2.0,2.0,8.0,8.0,38.0,15.0,1.0,16.0,14.0,0.12727272727272726,0.1818181818181818,2
26,27,7.0,12.0,4.0,4.0,3.0,9.0,20.0,44.0,9.0,6.0,13.0,7.0,0.05454545454545454,0.16363636363636364,2
27,28,7.0,2.0,4.0,4.0,2.0,1.0,7.0,11.0,6.0,0.0,7.0,1.0,0.8181818181818182,1.490909090909091,2
28,29,9.0,1.0,8.0,7.0,3.0,2.0,18.0,18.0,5.0,2.0,13.0,21.0,1.0,1.8363636363636364,1
29,30,8.0,5.0,9.0,9.0,1.0,8.0,18.0,32.0,11.0,3.0,8.0,16.0,0.5272727272727272,1.4545454545454546,2
30,31,8.0,2.0,11.0,4.0,2.0,8.0,10.0,26.0,9.0,2.0,13.0,28.0,0.9090909090909091,1.3454545454545455,1
31,32,9.0,3.0,10.0,7.0,4.0,6.0,21.0,25.0,8.0,0.0,3.0,20.0,0.9272727272727272,1.4909090909090907,1
32,33,10.0,3.0,13.0,4.0,3.0,2.0,14.0,31.0,16.0,2.0,11.0,12.0,0.509090909090909,0.9272727272727272,2
33,34,16.0,2.0,6.0,8.0,2.0,1.0,18.0,30.0,14.0,3.0,10.0,12.0,0.6,1.3272727272727272,2
34,35,12.0,2.0,11.0,7.0,6.0,3.0,12.0,26.0,11.0,1.0,8.0,19.0,0.6363636363636364,1.6,1
35,36,12.0,2.0,8.0,6.0,4.0,8.0,24.0,25.0,8.0,1.0,13.0,11.0,0.8909090909090909,1.4727272727272727,2
36,37,8.0,1.0,2.0,9.0,4.0,9.0,13.0,38.0,14.0,4.0,9.0,17.0,0.2727272727272727,0.9272727272727272,2
37,38,10.0,2.0,6.0,7.0,10.0,7.0,24.0,31.0,7.0,1.0,11.0,11.0,0.6909090909090909,1.6363636363636362,2
38,39,7.0,1.0,9.0,8.0,3.0,5.0,20.0,25.0,11.0,1.0,12.0,19.0,0.8727272727272727,1.5818181818181818,1
39,40,8.0,2.0,7.0,5.0,1.0,4.0,12.0,21.0,9.0,2.0,19.0,21.0,0.9818181818181818,1.4909090909090907,1
40,41,17.0,1.0,7.0,5.0,5.0,6.0,17.0,27.0,8.0,1.0,8.0,18.0,0.8363636363636363,1.2,1
41,42,10.0,1.0,10.0,7.0,2.0,6.0,15.0,30.0,14.0,4.0,11.0,15.0,0.5636363636363636,1.3454545454545455,2
42,43,14.0,2.0,11.0,4.0,4.0,3.0,21.0,24.0,8.0,1.0,7.0,19.0,0.9454545454545454,1.9272727272727272,1
43,44,10.0,2.0,10.0,4.0,2.0,4.0,18.0,26.0,10.0,4.0,7.0,18.0,0.7818181818181819,1.309090909090909,1
44,45,8.0,3.0,10.0,8.0,3.0,5.0,20.0,22.0,9.0,0.0,11.0,20.0,0.9636363636363636,1.8363636363636364,1
45,46,8.0,5.0,12.0,7.0,0.0,10.0,15.0,28.0,7.0,3.0,9.0,19.0,0.6181818181818182,0.8909090909090909,1
46,47,5.0,8.0,13.0,6.0,4.0,4.0,16.0,37.0,15.0,1.0,9.0,14.0,0.18181818181818182,0.34545454545454546,2
47,48,11.0,3.0,8.0,4.0,3.0,5.0,14.0,26.0,9.0,1.0,11.0,20.0,0.7454545454545455,1.6545454545454545,1
48,49,9.0,2.0,11.0,4.0,2.0,6.0,16.0,27.0,12.0,0.0,15.0,14.0,0.7090909090909091,0.7272727272727273,2
49,50,8.0,3.0,9.0,6.0,6.0,7.0,14.0,36.0,8.0,4.0,7.0,20.0,0.32727272727272727,1.018181818181818,2
50,51,13.0,3.0,5.0,8.0,1.0,5.0,16.0,26.0,10.0,3.0,16.0,16.0,0.7272727272727273,1.1272727272727274,2
51,52,11.0,3.0,7.0,6.0,4.0,4.0,13.0,24.0,11.0,2.0,9.0,21.0,0.8,1.2545454545454546,1
52,53,11.0,2.0,13.0,5.0,2.0,6.0,15.0,24.0,6.0,2.0,10.0,21.0,0.8545454545454545,1.1818181818181817,1
53,54,9.0,2.0,7.0,9.0,5.0,5.0,16.0,31.0,8.0,4.0,6.0,22.0,0.5818181818181818,1.0727272727272728,1
54,55,12.0,3.0,11.0,6.0,3.0,7.0,18.0,26.0,10.0,3.0,14.0,13.0,0.6545454545454545,1.4181818181818182,2
