,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
0,1,7.0,3.0,6.0,4.0,11.0,11.0,11.0,53.0,11.0,10.0,3.0,11.0,0.509090909090909,0.5636363636363636,1
1,2,8.0,4.0,5.0,6.0,16.0,4.0,10.0,50.0,9.0,8.0,14.0,7.0,0.509090909090909,0.5818181818181818,1
2,3,2.0,5.0,11.0,8.0,13.0,15.0,13.0,54.0,1.0,12.0,6.0,5.0,0.509090909090909,0.8181818181818181,2
3,4,5.0,5.0,11.0,7.0,12.0,5.0,9.0,45.0,8.0,8.0,7.0,8.0,0.509090909090909,0.709090909090909,1
4,5,4.0,12.0,7.0,8.0,11.0,7.0,3.0,60.0,6.0,11.0,11.0,6.0,0.509090909090909,1.0909090909090908,1
5,6,3.0,7.0,7.0,7.0,7.0,6.0,15.0,46.0,6.0,10.0,12.0,10.0,0.509090909090909,1.0363636363636362,1
6,7,3.0,4.0,4.0,7.0,10.0,14.0,6.0,57.0,7.0,12.0,6.0,10.0,0.509090909090909,1.0727272727272728,1
7,8,11.0,7.0,6.0,3.0,8.0,9.0,12.0,50.0,8.0,9.0,7.0,9.0,0.509090909090909,1.1272727272727272,1
8,9,6.0,6.0,7.0,4.0,6.0,8.0,12.0,50.0,13.0,9.0,11.0,9.0,0.509090909090909,1.018181818181818,1
9,10,6.0,3.0,6.0,4.0,9.0,11.0,13.0,55.0,11.0,13.0,9.0,6.0,0.509090909090909,0.7454545454545454,1
10,11,4.0,8.0,3.0,9.0,9.0,9.0,15.0,46.0,5.0,4.0,10.0,6.0,0.509090909090909,0.7636363636363636,1
11,12,8.0,4.0,8.0,7.0,11.0,11.0,6.0,54.0,8.0,4.0,9.0,6.0,0.509090909090909,1.0,1
12,13,5.0,5.0,9.0,3.0,13.0,9.0,10.0,58.0,8.0,9.0,10.0,5.0,0.509090909090909,0.6363636363636362,1
13,14,5.0,6.0,9.0,10.0,9.0,9.0,11.0,50.0,10.0,6.0,5.0,10.0,0.509090909090909,0.9818181818181817,1
14,15,8.0,2.0,7.0,3.0,6.0,10.0,16.0,44.0,5.0,10.0,13.0,9.0,0.509090909090909,0.9454545454545453,1
15,16,3.0,9.0,7.0,7.0,12.0,7.0,13.0,49.0,6.0,8.0,8.0,9.0,0.509090909090909,1.4,1
16,17,7.0,12.0,5.0,6.0,4.0,3.0,13.0,45.0,11.0,8.0,7.0,11.0,0.509090909090909,1.2727272727272727,1
17,18,8.0,12.0,5.0,1.0,11.0,12.0,13.0,62.0,11.0,7.0,6.0,5.0,0.509090909090909,0.9090909090909091,1
18,19,11.0,12.0,7.0,7.0,8.0,7.0,7.0,53.0,10.0,4.0,8.0,7.0,0.509090909090909,0.7818181818181817,1
19,20,4.0,6.0,8.0,4.0,17.0,12.0,13.0,43.0,2.0,5.0,12.0,8.0,0.509090909090909,1.2363636363636363,2
20,21,11.0,6.0,4.0,2.0,8.0,1.0,10.0,54.0,13.0,10.0,5.0,13.0,0.509090909090909,1.290909090909091,1
21,22,5.0,8.0,10.0,7.0,11.0,9.0,7.0,55.0,8.0,6.0,7.0,8.0,0.509090909090909,1.3636363636363635,1
