,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
0,1,6.0,6.0,15.0,2.0,5.0,19.0,10.0,54.0,9.0,5.0,13.0,0.0,0.509090909090909,1.018181818181818,1
1,2,4.0,4.0,15.0,2.0,3.0,13.0,5.0,55.0,8.0,9.0,16.0,3.0,0.509090909090909,1.018181818181818,1
2,3,3.0,4.0,13.0,2.0,3.0,22.0,5.0,54.0,9.0,5.0,12.0,3.0,0.509090909090909,1.018181818181818,1
3,4,4.0,7.0,11.0,3.0,5.0,11.0,5.0,53.0,12.0,7.0,19.0,4.0,0.509090909090909,1.018181818181818,1
4,5,1.0,8.0,7.0,6.0,6.0,11.0,8.0,52.0,8.0,9.0,23.0,2.0,0.509090909090909,1.018181818181818,1
5,6,6.0,4.0,9.0,2.0,7.0,12.0,10.0,50.0,11.0,5.0,13.0,3.0,0.509090909090909,1.018181818181818,1
6,7,2.0,15.0,7.0,1.0,11.0,13.0,9.0,66.0,13.0,5.0,12.0,3.0,0.509090909090909,1.018181818181818,1
7,8,3.0,4.0,10.0,4.0,10.0,10.0,8.0,59.0,10.0,10.0,14.0,1.0,0.509090909090909,1.018181818181818,1
8,9,2.0,7.0,16.0,2.0,6.0,16.0,4.0,59.0,11.0,7.0,14.0,1.0,0.509090909090909,1.018181818181818,1
9,10,4.0,4.0,10.0,5.0,4.0,9.0,8.0,47.0,8.0,8.0,14.0,5.0,0.509090909090909,1.018181818181818,1
10,11,3.0,3.0,8.0,1.0,7.0,10.0,16.0,52.0,7.0,12.0,16.0,4.0,0.509090909090909,1.018181818181818,1
11,12,2.0,5.0,12.0,2.0,9.0,18.0,8.0,61.0,12.0,7.0,13.0,2.0,0.509090909090909,1.018181818181818,1
12,13,5.0,5.0,14.0,2.0,5.0,17.0,6.0,59.0,8.0,6.0,9.0,4.0,0.509090909090909,1.018181818181818,1
13,14,2.0,1.0,6.0,4.0,10.0,11.0,7.0,50.0,6.0,10.0,19.0,3.0,0.509090909090909,1.018181818181818,1
14,15,3.0,4.0,13.0,2.0,6.0,19.0,10.0,51.0,7.0,5.0,18.0,3.0,0.509090909090909,1.018181818181818,1
15,16,4.0,1.0,8.0,4.0,6.0,12.0,8.0,57.0,10.0,12.0,15.0,4.0,0.509090909090909,1.018181818181818,1
16,17,2.0,6.0,9.0,4.0,9.0,13.0,9.0,59.0,9.0,6.0,14.0,3.0,0.509090909090909,1.018181818181818,1
17,18,3.0,3.0,10.0,3.0,5.0,7.0,11.0,45.0,9.0,4.0,15.0,3.0,0.509090909090909,1.018181818181818,1
18,19,3.0,5.0,11.0,5.0,4.0,19.0,6.0,56.0,2.0,9.0,17.0,2.0,0.509090909090909,1.018181818181818,1
19,20,3.0,5.0,10.0,2.0,2.0,19.0,9.0,55.0,5.0,7.0,16.0,5.0,0.509090909090909,1.018181818181818,1
20,21,5.0,6.0,4.0,2.0,8.0,12.0,8.0,67.0,9.0,8.0,7.0,7.0,0.509090909090909,1.018181818181818,1
21,22,4.0,6.0,9.0,4.0,3.0,14.0,6.0,57.0,10.0,7.0,7.0,3.0,0.509090909090909,1.018181818181818,1
22,23,3.0,5.0,11.0,2.0,8.0,12.0,9.0,52.0,8.0,7.0,17.0,6.0,0.509090909090909,1.018181818181818,1
23,24,5.0,7.0,8.0,8.0,7.0,12.0,11.0,51.0,9.0,3.0,14.0,3.0,0.509090909090909,1.018181818181818,1
24,25,3.0,5.0,8.0,3.0,5.0,10.0,7.0,51.0,8.0,9.0,14.0,5.0,0.509090909090909,1.018181818181818,1
25,26,3.0,5.0,7.0,6.0,5.0,15.0,11.0,58.0,11.0,8.0,10.0,4.0,0.509090909090909,1.018181818181818,1
26,27,2.0,6.0,5.0,4.0,2.0,16.0,6.0,62.0,7.0,13.0,20.0,1.0,0.509090909090909,1.018181818181818,1
27,28,1.0,1.0,3.0,7.0,8.0,6.0,3.0,27.0,6.0,3.0,6.0,1.0,0.509090909090909,1.018181818181818,2
28,29,2.0,4.0,9.0,8.0,10.0,7.0,10.0,54.0,15.0,6.0,10.0,4.0,0.509090909090909,1.018181818181818,2
29,30,5.0,5.0,13.0,8.0,8.0,12.0,6.0,57.0,16.0,7.0,8.0,2.0,0.509090909090909,1.018181818181818,2
