,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
0,1,3.0,12.0,3.0,4.0,10.0,9.0,5.0,61.0,22.0,8.0,2.0,14.0,0.509090909090909,1.018181818181818,3
1,2,3.0,13.0,3.0,4.0,10.0,8.0,7.0,63.0,19.0,9.0,5.0,14.0,0.509090909090909,1.018181818181818,3
2,3,1.0,8.0,3.0,3.0,11.0,13.0,9.0,66.0,14.0,13.0,4.0,13.0,0.509090909090909,1.018181818181818,3
3,4,3.0,12.0,7.0,5.0,5.0,9.0,4.0,65.0,27.0,9.0,6.0,10.0,0.509090909090909,1.018181818181818,3
4,5,0.0,9.0,0.0,4.0,10.0,8.0,9.0,58.0,19.0,6.0,4.0,16.0,0.509090909090909,1.018181818181818,3
5,6,1.0,6.0,4.0,9.0,10.0,12.0,5.0,68.0,23.0,11.0,3.0,10.0,0.509090909090909,1.018181818181818,3
6,7,1.0,10.0,1.0,12.0,10.0,12.0,11.0,64.0,23.0,7.0,5.0,6.0,0.509090909090909,1.018181818181818,3
7,8,6.0,6.0,4.0,5.0,8.0,7.0,14.0,46.0,11.0,9.0,5.0,14.0,0.509090909090909,1.018181818181818,3
8,9,2.0,9.0,3.0,8.0,8.0,11.0,11.0,59.0,20.0,6.0,4.0,10.0,0.509090909090909,1.018181818181818,3
9,10,3.0,15.0,6.0,6.0,6.0,8.0,4.0,64.0,25.0,8.0,5.0,11.0,0.509090909090909,1.018181818181818,3
10,11,3.0,11.0,8.0,8.0,5.0,13.0,8.0,58.0,16.0,11.0,3.0,12.0,0.509090909090909,1.018181818181818,3
11,12,2.0,8.0,5.0,6.0,12.0,14.0,12.0,62.0,18.0,6.0,4.0,9.0,0.509090909090909,1.018181818181818,3
12,13,5.0,8.0,3.0,4.0,7.0,12.0,9.0,64.0,24.0,7.0,5.0,10.0,0.509090909090909,1.018181818181818,3
13,14,3.0,15.0,6.0,8.0,10.0,2.0,3.0,58.0,20.0,7.0,3.0,10.0,0.509090909090909,1.018181818181818,3
14,15,4.0,12.0,2.0,8.0,11.0,8.0,12.0,58.0,15.0,7.0,5.0,10.0,0.509090909090909,1.018181818181818,3
15,16,5.0,7.0,4.0,8.0,5.0,14.0,11.0,61.0,21.0,10.0,3.0,8.0,0.509090909090909,1.018181818181818,3
