,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
0,1,3.0,12.0,4.0,5.0,7.0,3.0,10.0,45.0,14.0,6.0,8.0,18.0,0.509090909090909,1.018181818181818,1
1,2,7.0,12.0,8.0,3.0,9.0,4.0,8.0,53.0,18.0,6.0,10.0,8.0,0.509090909090909,1.018181818181818,2
2,3,7.0,10.0,5.0,10.0,6.0,1.0,9.0,46.0,17.0,9.0,13.0,10.0,0.509090909090909,1.018181818181818,1
3,4,4.0,9.0,12.0,6.0,7.0,3.0,8.0,42.0,10.0,10.0,11.0,14.0,0.509090909090909,1.018181818181818,1
4,5,6.0,7.0,5.0,7.0,5.0,2.0,12.0,47.0,17.0,11.0,10.0,7.0,0.509090909090909,1.018181818181818,1
5,6,4.0,5.0,10.0,12.0,11.0,2.0,10.0,49.0,14.0,11.0,7.0,7.0,0.509090909090909,1.018181818181818,1
6,7,8.0,8.0,5.0,17.0,5.0,2.0,8.0,39.0,16.0,6.0,5.0,12.0,0.509090909090909,1.018181818181818,1
7,8,6.0,6.0,1.0,9.0,8.0,4.0,4.0,56.0,25.0,9.0,13.0,10.0,0.509090909090909,1.018181818181818,1
8,9,2.0,6.0,6.0,13.0,13.0,3.0,8.0,50.0,13.0,9.0,10.0,10.0,0.509090909090909,1.018181818181818,1
9,10,4.0,6.0,8.0,13.0,5.0,1.0,12.0,41.0,16.0,7.0,7.0,14.0,0.509090909090909,1.018181818181818,1
10,11,5.0,9.0,9.0,9.0,7.0,2.0,7.0,49.0,17.0,11.0,8.0,9.0,0.509090909090909,1.018181818181818,1
11,12,4.0,7.0,4.0,8.0,8.0,7.0,15.0,54.0,19.0,9.0,2.0,12.0,0.509090909090909,1.018181818181818,1
12,13,2.0,7.0,8.0,8.0,8.0,3.0,13.0,48.0,15.0,9.0,8.0,11.0,0.509090909090909,1.018181818181818,1
13,14,7.0,7.0,2.0,11.0,3.0,1.0,8.0,43.0,18.0,10.0,13.0,15.0,0.509090909090909,1.018181818181818,1
14,15,1.0,6.0,5.0,15.0,10.0,3.0,14.0,39.0,10.0,7.0,8.0,18.0,0.509090909090909,1.018181818181818,3
15,16,8.0,7.0,8.0,8.0,10.0,4.0,13.0,45.0,7.0,11.0,6.0,10.0,0.509090909090909,1.018181818181818,1
16,17,6.0,13.0,7.0,12.0,3.0,4.0,5.0,47.0,20.0,4.0,11.0,9.0,0.509090909090909,1.018181818181818,1
17,18,5.0,8.0,4.0,13.0,6.0,4.0,9.0,43.0,13.0,7.0,11.0,12.0,0.509090909090909,1.018181818181818,1
18,19,6.0,6.0,7.0,12.0,8.0,7.0,11.0,47.0,16.0,7.0,7.0,9.0,0.509090909090909,1.018181818181818,1
19,20,5.0,10.0,6.0,14.0,8.0,2.0,8.0,53.0,11.0,15.0,4.0,9.0,0.509090909090909,1.018181818181818,1
20,21,5.0,7.0,5.0,10.0,11.0,5.0,6.0,54.0,12.0,11.0,9.0,9.0,0.509090909090909,1.018181818181818,1
21,22,4.0,7.0,8.0,10.0,4.0,4.0,9.0,43.0,10.0,8.0,10.0,13.0,0.509090909090909,1.018181818181818,1
22,23,2.0,10.0,3.0,12.0,10.0,1.0,9.0,48.0,13.0,10.0,13.0,12.0,0.509090909090909,1.018181818181818,1
23,24,6.0,5.0,3.0,8.0,5.0,5.0,10.0,51.0,21.0,10.0,6.0,15.0,0.509090909090909,1.018181818181818,1
24,25,7.0,4.0,6.0,7.0,8.0,1.0,13.0,45.0,18.0,11.0,9.0,11.0,0.509090909090909,1.018181818181818,1
25,26,2.0,9.0,10.0,6.0,7.0,8.0,14.0,53.0,10.0,13.0,8.0,6.0,0.509090909090909,1.018181818181818,1
26,27,5.0,8.0,7.0,6.0,14.0,2.0,9.0,54.0,15.0,10.0,9.0,9.0,0.509090909090909,1.018181818181818,1
27,28,2.0,5.0,6.0,3.0,1.0,4.0,4.0,25.0,9.0,1.0,4.0,3.0,0.509090909090909,1.018181818181818,2
28,29,3.0,6.0,11.0,3.0,5.0,6.0,4.0,51.0,16.0,1.0,9.0,7.0,0.509090909090909,1.018181818181818,2
29,30,5.0,3.0,12.0,3.0,5.0,15.0,10.0,56.0,21.0,3.0,11.0,2.0,0.509090909090909,1.018181818181818,2
30,31,6.0,10.0,15.0,0.0,4.0,13.0,4.0,57.0,18.0,3.0,11.0,7.0,0.509090909090909,1.018181818181818,2
31,32,7.0,10.0,9.0,2.0,7.0,12.0,3.0,65.0,19.0,6.0,8.0,6.0,0.509090909090909,1.018181818181818,2
32,33,3.0,12.0,12.0,2.0,8.0,11.0,3.0,60.0,13.0,3.0,10.0,10.0,0.509090909090909,1.018181818181818,2
33,34,5.0,8.0,14.0,2.0,4.0,8.0,6.0,47.0,13.0,4.0,17.0,8.0,0.509090909090909,1.018181818181818,2
34,35,5.0,11.0,16.0,2.0,3.0,6.0,5.0,39.0,13.0,1.0,14.0,11.0,0.509090909090909,1.018181818181818,2
35,36,4.0,10.0,10.0,3.0,4.0,8.0,8.0,56.0,18.0,2.0,13.0,5.0,0.509090909090909,1.018181818181818,2
36,37,5.0,11.0,12.0,2.0,5.0,11.0,10.0,52.0,14.0,0.0,14.0,5.0,0.509090909090909,1.018181818181818,2
37,38,6.0,5.0,10.0,3.0,9.0,16.0,5.0,59.0,19.0,1.0,7.0,10.0,0.509090909090909,1.018181818181818,2
