,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
0,1,10.0,8.0,12.0,5.0,9.0,6.0,10.0,47.0,10.0,8.0,5.0,2.0,0.509090909090909,1.018181818181818,2
1,2,10.0,4.0,12.0,6.0,12.0,3.0,12.0,44.0,11.0,4.0,9.0,6.0,0.509090909090909,1.018181818181818,1
2,3,9.0,5.0,11.0,5.0,9.0,6.0,11.0,52.0,18.0,4.0,8.0,4.0,0.509090909090909,1.018181818181818,1
3,4,5.0,12.0,6.0,8.0,7.0,6.0,9.0,58.0,17.0,7.0,10.0,3.0,0.509090909090909,1.018181818181818,1
4,5,10.0,3.0,15.0,4.0,6.0,8.0,11.0,43.0,17.0,3.0,3.0,5.0,0.509090909090909,1.018181818181818,1
5,6,7.0,8.0,8.0,7.0,14.0,5.0,8.0,59.0,14.0,8.0,3.0,8.0,0.509090909090909,1.018181818181818,1
6,7,3.0,8.0,8.0,4.0,12.0,5.0,11.0,58.0,18.0,2.0,10.0,6.0,0.509090909090909,1.018181818181818,1
7,8,13.0,5.0,7.0,4.0,6.0,7.0,7.0,47.0,15.0,4.0,6.0,9.0,0.509090909090909,1.018181818181818,1
8,9,11.0,2.0,6.0,7.0,8.0,5.0,15.0,45.0,18.0,4.0,6.0,7.0,0.509090909090909,1.018181818181818,1
9,10,13.0,7.0,6.0,5.0,6.0,3.0,9.0,42.0,12.0,7.0,14.0,11.0,0.509090909090909,1.018181818181818,1
10,11,11.0,5.0,8.0,2.0,7.0,6.0,12.0,50.0,23.0,6.0,10.0,7.0,0.509090909090909,1.018181818181818,1
11,12,5.0,10.0,6.0,5.0,16.0,5.0,9.0,61.0,14.0,6.0,11.0,3.0,0.509090909090909,1.018181818181818,1
12,13,10.0,5.0,10.0,4.0,9.0,9.0,7.0,57.0,19.0,6.0,3.0,5.0,0.509090909090909,1.018181818181818,1
13,14,4.0,14.0,11.0,7.0,8.0,6.0,9.0,54.0,12.0,4.0,4.0,5.0,0.509090909090909,1.018181818181818,2
14,15,6.0,9.0,10.0,7.0,11.0,4.0,9.0,57.0,19.0,5.0,5.0,6.0,0.509090909090909,1.018181818181818,1
15,16,9.0,7.0,8.0,5.0,9.0,9.0,10.0,56.0,17.0,6.0,7.0,5.0,0.509090909090909,1.018181818181818,1
16,17,10.0,7.0,11.0,9.0,8.0,5.0,6.0,46.0,15.0,2.0,5.0,5.0,0.509090909090909,1.018181818181818,1
17,18,4.0,4.0,8.0,8.0,13.0,5.0,8.0,59.0,18.0,5.0,4.0,8.0,0.509090909090909,1.018181818181818,1
18,19,5.0,6.0,7.0,8.0,13.0,6.0,13.0,52.0,14.0,4.0,8.0,6.0,0.509090909090909,1.018181818181818,1
19,20,11.0,14.0,5.0,6.0,8.0,9.0,9.0,59.0,12.0,7.0,5.0,5.0,0.509090909090909,1.018181818181818,2
20,21,4.0,14.0,11.0,6.0,10.0,11.0,5.0,60.0,12.0,7.0,7.0,3.0,0.509090909090909,1.018181818181818,2
