,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
0,1,15.0,6.0,5.0,7.0,12.0,10.0,11.0,45.0,8.0,2.0,8.0,7.0,0.509090909090909,1.018181818181818,2
1,2,16.0,8.0,7.0,7.0,9.0,10.0,9.0,44.0,9.0,3.0,7.0,2.0,0.509090909090909,1.018181818181818,2
2,3,11.0,4.0,10.0,10.0,12.0,16.0,11.0,45.0,4.0,2.0,5.0,8.0,0.509090909090909,1.018181818181818,2
3,4,10.0,9.0,4.0,7.0,13.0,14.0,10.0,53.0,6.0,2.0,9.0,6.0,0.509090909090909,1.018181818181818,2
4,5,9.0,7.0,6.0,5.0,7.0,17.0,12.0,47.0,8.0,5.0,7.0,5.0,0.509090909090909,1.018181818181818,2
5,6,18.0,3.0,8.0,6.0,12.0,11.0,13.0,44.0,7.0,2.0,5.0,6.0,0.509090909090909,1.018181818181818,2
6,7,16.0,9.0,8.0,9.0,12.0,10.0,13.0,44.0,6.0,1.0,5.0,4.0,0.509090909090909,1.018181818181818,2
7,8,10.0,3.0,5.0,5.0,10.0,13.0,13.0,46.0,9.0,4.0,9.0,8.0,0.509090909090909,1.018181818181818,2
8,9,17.0,5.0,8.0,7.0,10.0,14.0,7.0,42.0,6.0,0.0,10.0,4.0,0.509090909090909,1.018181818181818,2
9,10,12.0,8.0,5.0,13.0,14.0,8.0,9.0,52.0,12.0,3.0,4.0,5.0,0.509090909090909,1.018181818181818,2
10,11,15.0,3.0,12.0,12.0,8.0,14.0,11.0,38.0,6.0,2.0,5.0,5.0,0.509090909090909,1.018181818181818,2
11,12,11.0,15.0,6.0,8.0,6.0,9.0,12.0,46.0,4.0,2.0,6.0,3.0,0.509090909090909,1.018181818181818,2
12,13,15.0,9.0,7.0,12.0,8.0,12.0,14.0,45.0,8.0,5.0,5.0,2.0,0.509090909090909,1.018181818181818,2
13,14,10.0,9.0,9.0,6.0,8.0,14.0,10.0,51.0,6.0,2.0,6.0,8.0,0.509090909090909,1.018181818181818,2
14,15,9.0,2.0,6.0,6.0,10.0,18.0,12.0,47.0,6.0,4.0,11.0,7.0,0.509090909090909,1.018181818181818,2
15,16,7.0,3.0,4.0,9.0,5.0,13.0,13.0,44.0,6.0,6.0,5.0,10.0,0.509090909090909,1.018181818181818,2
16,17,4.0,8.0,4.0,8.0,12.0,16.0,13.0,54.0,4.0,3.0,10.0,7.0,0.509090909090909,1.018181818181818,2
17,18,14.0,6.0,11.0,5.0,9.0,9.0,15.0,36.0,6.0,3.0,10.0,8.0,0.509090909090909,1.018181818181818,2
18,19,12.0,5.0,5.0,3.0,9.0,10.0,8.0,46.0,6.0,3.0,10.0,7.0,0.509090909090909,1.018181818181818,2
19,20,17.0,10.0,11.0,4.0,7.0,20.0,9.0,52.0,4.0,4.0,3.0,4.0,0.509090909090909,1.018181818181818,2
20,21,18.0,5.0,6.0,10.0,5.0,14.0,11.0,39.0,6.0,0.0,3.0,12.0,0.509090909090909,1.018181818181818,2
21,22,10.0,5.0,10.0,7.0,7.0,6.0,16.0,34.0,8.0,5.0,7.0,7.0,0.509090909090909,1.018181818181818,2
22,23,17.0,5.0,4.0,9.0,11.0,14.0,14.0,49.0,7.0,3.0,3.0,4.0,0.509090909090909,1.018181818181818,2
23,24,12.0,8.0,6.0,8.0,16.0,12.0,11.0,54.0,7.0,2.0,4.0,4.0,0.509090909090909,1.018181818181818,2
24,25,12.0,6.0,9.0,9.0,7.0,12.0,12.0,39.0,8.0,2.0,4.0,10.0,0.509090909090909,1.018181818181818,2
25,26,15.0,6.0,6.0,4.0,13.0,12.0,12.0,52.0,7.0,5.0,4.0,3.0,0.509090909090909,1.018181818181818,2
26,27,16.0,4.0,6.0,5.0,11.0,14.0,14.0,51.0,9.0,6.0,2.0,6.0,0.509090909090909,1.018181818181818,2
27,28,5.0,3.0,2.0,5.0,2.0,5.0,7.0,18.0,3.0,3.0,3.0,5.0,0.509090909090909,1.018181818181818,2
28,29,3.0,13.0,5.0,5.0,4.0,5.0,11.0,51.0,14.0,9.0,8.0,7.0,0.509090909090909,1.018181818181818,1
29,30,3.0,11.0,7.0,3.0,4.0,6.0,9.0,55.0,19.0,6.0,6.0,17.0,0.509090909090909,1.018181818181818,1
30,31,4.0,10.0,4.0,7.0,3.0,6.0,12.0,63.0,22.0,12.0,4.0,6.0,0.509090909090909,1.018181818181818,1
31,32,6.0,13.0,6.0,8.0,6.0,11.0,10.0,55.0,13.0,6.0,6.0,9.0,0.509090909090909,1.018181818181818,1
32,33,6.0,14.0,5.0,6.0,4.0,5.0,5.0,58.0,14.0,9.0,5.0,8.0,0.509090909090909,1.018181818181818,1
33,34,5.0,12.0,0.0,5.0,6.0,8.0,10.0,62.0,15.0,10.0,7.0,8.0,0.509090909090909,1.018181818181818,1
34,35,5.0,10.0,4.0,6.0,5.0,4.0,9.0,64.0,20.0,11.0,6.0,6.0,0.509090909090909,1.018181818181818,1
35,36,5.0,7.0,5.0,5.0,5.0,8.0,15.0,53.0,15.0,6.0,5.0,12.0,0.509090909090909,1.018181818181818,1
36,37,4.0,9.0,3.0,7.0,2.0,8.0,12.0,46.0,11.0,5.0,9.0,10.0,0.509090909090909,1.018181818181818,1
37,38,5.0,7.0,5.0,6.0,4.0,9.0,16.0,48.0,13.0,6.0,6.0,13.0,0.509090909090909,1.018181818181818,1
38,39,3.0,9.0,4.0,5.0,4.0,7.0,12.0,61.0,21.0,11.0,10.0,5.0,0.509090909090909,1.018181818181818,1
39,40,1.0,11.0,8.0,5.0,3.0,10.0,5.0,65.0,22.0,10.0,6.0,8.0,0.509090909090909,1.018181818181818,1
40,41,4.0,9.0,6.0,8.0,2.0,12.0,10.0,48.0,13.0,5.0,7.0,11.0,0.509090909090909,1.018181818181818,1
41,42,4.0,6.0,3.0,7.0,8.0,12.0,9.0,64.0,18.0,10.0,7.0,6.0,0.509090909090909,1.018181818181818,1
42,43,7.0,11.0,6.0,5.0,6.0,8.0,8.0,63.0,21.0,7.0,5.0,5.0,0.509090909090909,1.018181818181818,1
43,44,2.0,14.0,6.0,5.0,4.0,7.0,6.0,66.0,19.0,9.0,6.0,8.0,0.509090909090909,1.018181818181818,1
44,45,3.0,10.0,4.0,7.0,7.0,5.0,12.0,53.0,17.0,5.0,5.0,9.0,0.509090909090909,1.018181818181818,1
45,46,1.0,22.0,5.0,6.0,3.0,13.0,10.0,63.0,12.0,6.0,6.0,8.0,0.509090909090909,1.018181818181818,1
46,47,3.0,15.0,5.0,5.0,6.0,7.0,19.0,51.0,7.0,9.0,9.0,8.0,0.509090909090909,1.018181818181818,1
47,48,8.0,10.0,9.0,3.0,6.0,9.0,8.0,52.0,12.0,6.0,9.0,10.0,0.509090909090909,1.018181818181818,1
