,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
44,45,5.0,2.0,6.0,8.0,10.0,14.0,3.0,50.0,7.0,4.0,11.0,16.0,0.509090909090909,0.6909090909090909,2
45,46,3.0,9.0,6.0,12.0,9.0,10.0,7.0,45.0,5.0,3.0,10.0,16.0,0.509090909090909,1.1454545454545455,2
46,47,6.0,10.0,8.0,5.0,7.0,17.0,7.0,54.0,8.0,1.0,8.0,9.0,0.509090909090909,1.3636363636363635,2
47,48,5.0,8.0,11.0,1.0,6.0,13.0,10.0,53.0,4.0,7.0,6.0,11.0,0.509090909090909,0.8545454545454545,2
48,49,3.0,9.0,7.0,5.0,11.0,19.0,5.0,59.0,4.0,5.0,8.0,12.0,0.509090909090909,1.018181818181818,2
49,50,8.0,5.0,13.0,9.0,15.0,8.0,9.0,46.0,4.0,2.0,6.0,9.0,0.509090909090909,1.418181818181818,2
50,51,6.0,6.0,9.0,4.0,12.0,14.0,10.0,51.0,5.0,6.0,9.0,10.0,0.509090909090909,1.3272727272727272,2
51,52,3.0,7.0,8.0,4.0,10.0,13.0,8.0,45.0,5.0,3.0,16.0,10.0,0.509090909090909,0.7818181818181817,2
52,53,6.0,8.0,10.0,5.0,10.0,21.0,7.0,56.0,5.0,4.0,3.0,13.0,0.509090909090909,1.4727272727272727,2
53,54,4.0,10.0,5.0,4.0,10.0,14.0,7.0,51.0,7.0,1.0,15.0,13.0,0.509090909090909,0.9454545454545453,2
54,55,5.0,9.0,7.0,6.0,9.0,19.0,4.0,61.0,3.0,6.0,4.0,12.0,0.509090909090909,0.8727272727272727,2
