,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
0,1,9.0,1.0,7.0,11.0,10.0,4.0,4.0,45.0,15.0,11.0,10.0,9.0,0.509090909090909,0.6363636363636362,3
1,2,9.0,1.0,8.0,8.0,6.0,5.0,4.0,48.0,16.0,11.0,14.0,7.0,0.509090909090909,0.7454545454545454,3
2,3,6.0,7.0,4.0,13.0,10.0,4.0,3.0,54.0,18.0,13.0,11.0,7.0,0.509090909090909,0.5818181818181818,3
3,4,9.0,3.0,4.0,11.0,5.0,7.0,2.0,46.0,18.0,10.0,12.0,10.0,0.509090909090909,0.6909090909090909,3
4,5,9.0,3.0,5.0,11.0,12.0,3.0,1.0,56.0,21.0,7.0,11.0,7.0,0.509090909090909,0.709090909090909,3
5,6,4.0,3.0,4.0,15.0,8.0,6.0,6.0,45.0,11.0,8.0,14.0,11.0,0.509090909090909,1.1272727272727272,1
6,7,5.0,1.0,8.0,2.0,5.0,6.0,2.0,57.0,28.0,8.0,7.0,11.0,0.509090909090909,1.109090909090909,2
7,8,7.0,2.0,2.0,12.0,9.0,3.0,2.0,54.0,18.0,15.0,11.0,12.0,0.509090909090909,1.4727272727272727,3
8,9,5.0,2.0,5.0,18.0,6.0,8.0,6.0,41.0,13.0,9.0,18.0,6.0,0.509090909090909,0.9272727272727272,1
9,10,6.0,0.0,4.0,13.0,14.0,4.0,1.0,54.0,21.0,7.0,12.0,7.0,0.509090909090909,1.2545454545454544,3
10,11,9.0,1.0,2.0,13.0,11.0,1.0,4.0,47.0,21.0,7.0,16.0,3.0,0.509090909090909,0.8909090909090909,3
11,12,10.0,3.0,1.0,13.0,10.0,6.0,6.0,48.0,9.0,11.0,15.0,7.0,0.509090909090909,1.2363636363636363,1
12,13,6.0,2.0,7.0,10.0,8.0,6.0,3.0,56.0,21.0,11.0,13.0,5.0,0.509090909090909,1.509090909090909,3
13,14,5.0,4.0,5.0,16.0,12.0,3.0,2.0,48.0,14.0,5.0,18.0,6.0,0.509090909090909,1.3636363636363635,1
14,15,6.0,2.0,2.0,12.0,10.0,7.0,3.0,53.0,20.0,10.0,9.0,6.0,0.509090909090909,1.290909090909091,3
15,16,10.0,2.0,4.0,10.0,10.0,8.0,2.0,56.0,25.0,7.0,12.0,5.0,0.509090909090909,0.9454545454545453,3
16,17,8.0,4.0,4.0,5.0,7.0,6.0,5.0,56.0,20.0,11.0,15.0,7.0,0.509090909090909,1.4545454545454546,3
17,18,8.0,5.0,4.0,9.0,8.0,9.0,3.0,53.0,17.0,5.0,10.0,6.0,0.509090909090909,1.1636363636363636,3
18,19,9.0,3.0,4.0,10.0,9.0,4.0,2.0,50.0,17.0,11.0,16.0,7.0,0.509090909090909,0.6181818181818182,3
19,20,2.0,5.0,4.0,10.0,5.0,5.0,4.0,54.0,18.0,11.0,15.0,10.0,0.509090909090909,1.0909090909090908,3
20,21,8.0,3.0,2.0,6.0,11.0,4.0,8.0,57.0,26.0,8.0,9.0,10.0,0.509090909090909,1.418181818181818,2
21,22,8.0,2.0,3.0,8.0,10.0,5.0,4.0,52.0,20.0,7.0,15.0,4.0,0.509090909090909,1.3818181818181818,3
22,23,8.0,0.0,4.0,10.0,8.0,5.0,2.0,50.0,17.0,13.0,17.0,8.0,0.509090909090909,0.5272727272727272,3
23,24,4.0,6.0,6.0,12.0,9.0,4.0,4.0,53.0,17.0,8.0,16.0,3.0,0.509090909090909,0.7272727272727272,3
24,25,5.0,2.0,1.0,10.0,12.0,10.0,2.0,63.0,23.0,10.0,10.0,8.0,0.509090909090909,1.2,3
25,26,9.0,2.0,3.0,16.0,10.0,3.0,1.0,42.0,15.0,7.0,15.0,7.0,0.509090909090909,0.5636363636363636,1
26,27,11.0,5.0,7.0,15.0,6.0,2.0,4.0,43.0,13.0,10.0,12.0,8.0,0.509090909090909,0.5454545454545454,3
27,28,2.0,2.0,3.0,2.0,3.0,3.0,3.0,31.0,12.0,3.0,4.0,3.0,0.509090909090909,0.6545454545454545,2
28,29,5.0,6.0,3.0,16.0,7.0,3.0,7.0,55.0,20.0,9.0,3.0,8.0,0.509090909090909,1.1818181818181817,2
29,30,6.0,8.0,7.0,7.0,5.0,3.0,5.0,58.0,25.0,10.0,6.0,8.0,0.509090909090909,1.309090909090909,2
30,31,8.0,6.0,4.0,7.0,12.0,2.0,3.0,58.0,23.0,6.0,4.0,9.0,0.509090909090909,1.3272727272727272,2
31,32,6.0,10.0,3.0,6.0,5.0,1.0,4.0,66.0,25.0,12.0,6.0,9.0,0.509090909090909,0.8363636363636363,2
32,33,10.0,8.0,5.0,3.0,10.0,2.0,3.0,67.0,31.0,9.0,5.0,7.0,0.509090909090909,0.7999999999999999,2
33,34,7.0,6.0,4.0,4.0,9.0,2.0,6.0,63.0,32.0,6.0,8.0,8.0,0.509090909090909,1.018181818181818,2
34,35,6.0,4.0,2.0,6.0,9.0,6.0,11.0,54.0,20.0,7.0,10.0,3.0,0.509090909090909,0.8545454545454545,2
35,36,12.0,7.0,5.0,8.0,9.0,6.0,4.0,55.0,19.0,4.0,6.0,8.0,0.509090909090909,1.3454545454545452,2
36,37,7.0,3.0,3.0,7.0,10.0,2.0,7.0,58.0,26.0,8.0,9.0,9.0,0.509090909090909,0.8727272727272727,2
37,38,6.0,6.0,4.0,6.0,8.0,3.0,2.0,71.0,22.0,16.0,1.0,9.0,0.509090909090909,1.0727272727272728,2
38,39,7.0,6.0,1.0,8.0,5.0,3.0,10.0,57.0,29.0,7.0,8.0,6.0,0.509090909090909,0.7818181818181817,2
39,40,7.0,3.0,5.0,10.0,11.0,5.0,4.0,65.0,23.0,14.0,5.0,1.0,0.509090909090909,0.9636363636363636,2
40,41,8.0,8.0,2.0,9.0,10.0,5.0,3.0,58.0,23.0,6.0,5.0,14.0,0.509090909090909,1.2181818181818183,2
41,42,4.0,5.0,3.0,10.0,1.0,4.0,2.0,64.0,23.0,14.0,6.0,3.0,0.509090909090909,0.7636363636363636,2
42,43,11.0,3.0,5.0,9.0,8.0,4.0,2.0,55.0,18.0,10.0,6.0,12.0,0.509090909090909,0.6,2
43,44,5.0,10.0,7.0,8.0,11.0,2.0,2.0,67.0,19.0,13.0,4.0,7.0,0.509090909090909,1.4363636363636363,2
44,45,10.0,5.0,4.0,7.0,4.0,3.0,6.0,49.0,20.0,14.0,6.0,8.0,0.509090909090909,0.6727272727272726,2
45,46,7.0,3.0,2.0,10.0,11.0,2.0,6.0,66.0,27.0,10.0,5.0,4.0,0.509090909090909,1.0363636363636362,2
46,47,4.0,4.0,6.0,11.0,6.0,5.0,5.0,54.0,23.0,5.0,5.0,15.0,0.509090909090909,1.2727272727272727,2
47,48,11.0,7.0,6.0,6.0,2.0,5.0,5.0,58.0,24.0,9.0,5.0,9.0,0.509090909090909,1.4,2
48,49,4.0,4.0,3.0,8.0,7.0,1.0,4.0,60.0,23.0,10.0,6.0,7.0,0.509090909090909,0.9090909090909091,2
49,50,5.0,4.0,4.0,12.0,3.0,2.0,6.0,59.0,27.0,10.0,8.0,5.0,0.509090909090909,1.0,2
50,51,6.0,5.0,4.0,8.0,5.0,5.0,8.0,61.0,24.0,9.0,5.0,7.0,0.509090909090909,0.8181818181818181,2
51,52,6.0,8.0,6.0,9.0,9.0,2.0,3.0,63.0,27.0,8.0,6.0,7.0,0.509090909090909,1.0545454545454545,2
52,53,5.0,3.0,4.0,8.0,7.0,3.0,1.0,66.0,28.0,15.0,5.0,8.0,0.509090909090909,0.9818181818181817,2
53,54,12.0,5.0,6.0,9.0,7.0,3.0,3.0,56.0,23.0,14.0,5.0,7.0,0.509090909090909,1.4909090909090907,2
54,55,3.0,7.0,6.0,10.0,9.0,3.0,5.0,57.0,20.0,8.0,6.0,9.0,0.509090909090909,1.1454545454545455,2
