time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,cpulimit,memorylimit
2,4.0,9.0,14.0,17.0,10.0,3.0,14.0,41.0,5.0,6.0,3.0,7.0,3.0,5
3,11.0,10.0,9.0,15.0,9.0,5.0,4.0,41.0,5.0,8.0,6.0,4.0,3.0,5
4,8.0,9.0,12.0,15.0,8.0,4.0,5.0,39.0,7.0,7.0,10.0,11.0,3.0,5
5,7.0,7.0,14.0,10.0,13.0,0.0,5.0,48.0,19.0,4.0,7.0,9.0,3.0,5
6,8.0,10.0,9.0,17.0,0.0,7.0,6.0,34.0,9.0,6.0,9.0,7.0,3.0,5
7,14.0,8.0,8.0,8.0,14.0,4.0,8.0,47.0,9.0,6.0,4.0,11.0,3.0,5
8,12.0,11.0,8.0,17.0,8.0,2.0,5.0,45.0,11.0,8.0,5.0,8.0,3.0,5
9,7.0,15.0,6.0,14.0,7.0,5.0,5.0,51.0,15.0,5.0,7.0,10.0,3.0,5
10,9.0,9.0,6.0,12.0,5.0,6.0,4.0,50.0,11.0,13.0,4.0,5.0,3.0,5
11,9.0,9.0,12.0,18.0,7.0,3.0,5.0,46.0,13.0,11.0,4.0,6.0,3.0,5
12,5.0,9.0,6.0,16.0,11.0,6.0,10.0,49.0,8.0,9.0,4.0,10.0,3.0,5
13,10.0,8.0,14.0,11.0,6.0,4.0,6.0,40.0,13.0,4.0,8.0,11.0,3.0,5
14,9.0,9.0,8.0,13.0,12.0,2.0,10.0,36.0,8.0,5.0,5.0,9.0,3.0,5
15,8.0,8.0,14.0,13.0,8.0,3.0,12.0,36.0,6.0,8.0,5.0,12.0,3.0,5
16,11.0,10.0,4.0,16.0,5.0,3.0,9.0,46.0,14.0,8.0,8.0,6.0,3.0,5
17,6.0,11.0,14.0,12.0,8.0,2.0,8.0,46.0,10.0,6.0,2.0,12.0,3.0,5
18,6.0,12.0,7.0,16.0,6.0,6.0,2.0,50.0,17.0,4.0,3.0,6.0,3.0,5
19,4.0,13.0,10.0,11.0,15.0,6.0,8.0,54.0,10.0,6.0,4.0,9.0,3.0,5
20,7.0,12.0,11.0,9.0,8.0,2.0,3.0,53.0,15.0,10.0,8.0,9.0,3.0,5
21,6.0,10.0,9.0,11.0,6.0,2.0,4.0,43.0,10.0,8.0,6.0,11.0,3.0,5
