,time_period,cpu,rss,memory
0,1,23.16,1621816.0,19.96
1,2,21.73,1650092.0,20.31
2,3,21.27,1658852.0,20.41
3,4,16.59,1660748.0,20.44
4,5,17.13,1665176.0,20.49
5,6,15.64,1667996.0,20.53
6,7,12.69,1672368.0,20.58
7,8,11.63,1667360.0,20.52
8,9,12.02,1667556.0,20.52
9,10,12.46,1672664.0,20.58
10,11,10.49,1671284.0,20.57
11,12,12.65,1676128.0,20.63
12,13,9.64,1676776.0,20.63
13,14,9.01,1680496.0,20.68
14,15,8.45,1682020.0,20.7
15,16,9.78,1680724.0,20.68
16,17,10.03,1682252.0,20.7
17,18,9.82,1683856.0,20.72
18,19,9.35,1684072.0,20.72
19,20,10.9,1685204.0,20.74
20,21,8.11,1689044.0,20.79
21,22,7.29,1689872.0,20.8
22,23,7.04,1688548.0,20.78
23,24,7.06,1688156.0,20.77
24,25,9.15,1690228.0,20.8
25,26,8.29,1689328.0,20.79
26,27,7.17,1693932.0,20.85
27,28,7.45,1695264.0,20.86
28,29,3.28,1694324.0,20.85
29,30,5.79,1695604.0,20.87
30,31,4.18,1693028.0,20.83
31,32,5.64,1696760.0,20.88
32,33,6.38,1698388.0,20.9
33,34,5.43,1698420.0,20.9
34,35,5.99,1697808.0,20.89
35,36,6.21,1698520.0,20.9
36,37,5.21,1697412.0,20.89
37,38,5.86,1696908.0,20.88
38,39,5.47,1699816.0,20.92
39,40,4.31,1698548.0,20.9
40,41,5.74,1700396.0,20.93
41,42,6.6,1702708.0,20.95
42,43,5.48,1705108.0,20.98
43,44,5.27,1703612.0,20.97
44,45,6.89,1702600.0,20.95
45,46,5.89,1703048.0,20.96
46,47,5.64,1702356.0,20.95
47,48,6.05,1703400.0,20.96
48,49,5.17,1702488.0,20.95
49,50,5.08,1706092.0,21.0
50,51,8.45,1708940.0,21.03
51,52,6.37,1706612.0,21.0
52,53,6.76,1708476.0,21.02
53,54,6.01,1708880.0,21.03
54,55,5.49,1708800.0,21.03
55,56,5.27,1708336.0,21.02
56,57,5.29,1710540.0,21.05
57,58,5.44,1707796.0,21.02
