,time_period,cpu,rss,memory
0,1,22.91,1309560.0,16.12
1,2,17.72,1340700.0,16.5
2,3,18.44,1350680.0,16.62
3,4,16.12,1353100.0,16.65
4,5,15.12,1358128.0,16.71
5,6,10.67,1356668.0,16.7
6,7,10.95,1362656.0,16.77
7,8,12.05,1361364.0,16.75
8,9,8.91,1366228.0,16.81
9,10,10.48,1366180.0,16.81
10,11,9.19,1369588.0,16.85
11,12,10.91,1369888.0,16.86
12,13,8.67,1368340.0,16.84
13,14,9.59,1368788.0,16.84
14,15,9.41,1368152.0,16.84
15,16,6.94,1370852.0,16.87
16,17,6.94,1370000.0,16.86
17,18,11.16,1373408.0,16.9
18,19,7.31,1374072.0,16.91
19,20,7.43,1374472.0,16.91
20,21,7.1,1372884.0,16.9
21,22,7.85,1373892.0,16.91
22,23,6.85,1374784.0,16.92
23,24,8.09,1375088.0,16.92
24,25,8.15,1378480.0,16.96
25,26,8.06,1377300.0,16.95
26,27,7.62,1379612.0,16.98
27,28,6.63,1377612.0,16.95
28,29,4.38,1379368.0,16.97
29,30,6.31,1381412.0,17.0
30,31,6.43,1381056.0,17.0
31,32,7.53,1382828.0,17.02
32,33,7.49,1386524.0,17.06
33,34,5.76,1388080.0,17.08
34,35,5.69,1387864.0,17.08
35,36,4.88,1388460.0,17.09
36,37,5.45,1387112.0,17.07
37,38,8.46,1395164.0,17.17
38,39,7.98,1393360.0,17.15
39,40,6.67,1396572.0,17.19
40,41,8.61,1397916.0,17.2
41,42,5.45,1397700.0,17.2
42,43,5.63,1396900.0,17.19
43,44,5.99,1398704.0,17.21
44,45,6.46,1400068.0,17.23
45,46,5.15,1400800.0,17.24
46,47,6.27,1399836.0,17.23
47,48,6.02,1400568.0,17.24
48,49,6.53,1399640.0,17.22
49,50,7.36,1401060.0,17.24
50,51,6.55,1403048.0,17.27
51,52,5.92,1399664.0,17.22
52,53,5.9,1400228.0,17.23
53,54,6.41,1402380.0,17.26
54,55,6.14,1402456.0,17.26
55,56,8.48,1404656.0,17.29
56,57,9.02,1405520.0,17.3
57,58,5.44,1405300.0,17.29
