,time_period,cpu,rss,memory
0,1,17.06,1530004.0,18.83
1,2,18.98,1532004.0,18.85
2,3,16.66,1628696.0,20.04
3,4,14.99,1632056.0,20.08
4,5,12.87,1635816.0,20.13
5,6,13.31,1638164.0,20.16
6,7,11.7,1640184.0,20.18
7,8,9.19,1643764.0,20.23
8,9,9.57,1645372.0,20.25
9,10,12.78,1645452.0,20.25
10,11,7.72,1648380.0,20.29
11,12,7.65,1646188.0,20.26
12,13,7.08,1646096.0,20.26
13,14,10.85,1647460.0,20.27
14,15,7.48,1650928.0,20.32
15,16,7.55,1648568.0,20.29
16,17,7.65,1648560.0,20.29
17,18,8.9,1649192.0,20.3
18,19,7.39,1650072.0,20.31
19,20,9.14,1649284.0,20.3
20,21,6.96,1649420.0,20.3
21,22,8.13,1651232.0,20.32
22,23,7.41,1651092.0,20.32
23,24,6.66,1652732.0,20.34
24,25,6.91,1653084.0,20.34
25,26,5.81,1653284.0,20.35
26,27,6.92,1651008.0,20.32
27,28,7.1,1654456.0,20.36
28,29,3.55,1653260.0,20.35
29,30,8.27,1656352.0,20.38
30,31,4.86,1653088.0,20.34
31,32,4.53,1656148.0,20.38
32,33,5.13,1654660.0,20.36
33,34,4.37,1655704.0,20.38
34,35,5.15,1655832.0,20.38
35,36,4.49,1657008.0,20.39
36,37,4.65,1656024.0,20.38
37,38,5.29,1656828.0,20.39
38,39,5.06,1656728.0,20.39
39,40,4.87,1657212.0,20.39
40,41,5.09,1659400.0,20.42
41,42,5.16,1659880.0,20.43
42,43,5.17,1659924.0,20.43
43,44,5.61,1663380.0,20.47
44,45,4.74,1662184.0,20.46
45,46,5.09,1665876.0,20.5
46,47,3.91,1667820.0,20.52
47,48,4.77,1667108.0,20.52
48,49,6.4,1666320.0,20.51
49,50,6.02,1668180.0,20.53
50,51,3.46,1669572.0,20.55
51,52,6.12,1668448.0,20.53
52,53,6.21,1674220.0,20.6
53,54,5.74,1672904.0,20.59
54,55,6.76,1672328.0,20.58
55,56,3.93,1674540.0,20.61
56,57,5.93,1674248.0,20.6
57,58,4.26,1674320.0,20.6
