,time_period,cpu,rss,memory
0,1,26.55,1477000.0,18.18
1,2,19.7,1534340.0,18.88
2,3,12.98,1539412.0,18.94
3,4,10.71,1547144.0,19.04
4,5,15.41,1550816.0,19.08
5,6,11.18,1554000.0,19.12
6,7,11.65,1560344.0,19.2
7,8,13.17,1559412.0,19.19
8,9,12.42,1564256.0,19.25
9,10,10.5,1564208.0,19.25
10,11,7.85,1565512.0,19.27
11,12,9.36,1563292.0,19.24
12,13,9.65,1562948.0,19.23
13,14,8.03,1567844.0,19.29
14,15,7.36,1563488.0,19.24
15,16,9.56,1564892.0,19.26
16,17,7.22,1568656.0,19.3
17,18,6.34,1567796.0,19.29
18,19,7.69,1567528.0,19.29
19,20,9.43,1568536.0,19.3
20,21,5.33,1567420.0,19.29
21,22,10.3,1568016.0,19.3
22,23,7.5,1576592.0,19.4
23,24,8.03,1572820.0,19.36
24,25,7.74,1572112.0,19.35
25,26,7.52,1572416.0,19.35
26,27,5.88,1574412.0,19.38
27,28,4.89,1574924.0,19.38
28,29,3.73,1573276.0,19.36
29,30,5.57,1575460.0,19.39
30,31,5.26,1575664.0,19.39
31,32,5.7,1576408.0,19.4
32,33,4.88,1577672.0,19.42
33,34,4.56,1579744.0,19.44
34,35,6.78,1579200.0,19.43
35,36,6.16,1578116.0,19.42
36,37,5.01,1580380.0,19.45
37,38,4.87,1578600.0,19.43
38,39,4.99,1578672.0,19.43
39,40,5.31,1582508.0,19.47
40,41,5.6,1580696.0,19.45
41,42,5.51,1578756.0,19.43
42,43,4.79,1582116.0,19.47
43,44,4.45,1583904.0,19.49
44,45,6.59,1583744.0,19.49
45,46,4.56,1585120.0,19.51
46,47,8.22,1584332.0,19.5
47,48,4.91,1585552.0,19.51
48,49,5.5,1584484.0,19.5
49,50,6.16,1582052.0,19.47
50,51,6.34,1585660.0,19.51
51,52,5.42,1586532.0,19.52
52,53,4.89,1583580.0,19.49
53,54,4.43,1584520.0,19.5
54,55,5.29,1583228.0,19.48
55,56,4.4,1583728.0,19.49
56,57,4.99,1585808.0,19.52
57,58,4.03,1584764.0,19.5
