,time_period,cpu,rss,memory
0,1,20.77,803604.0,9.89
1,2,17.01,806300.0,9.92
2,3,15.79,830344.0,10.22
3,4,12.18,823292.0,10.13
4,5,12.98,828008.0,10.19
5,6,9.14,827872.0,10.19
6,7,9.83,832264.0,10.24
7,8,9.04,832100.0,10.24
8,9,9.91,833028.0,10.25
9,10,8.71,836124.0,10.29
10,11,8.49,834260.0,10.27
11,12,10.96,835420.0,10.28
12,13,7.87,835732.0,10.28
13,14,7.57,838464.0,10.32
14,15,7.28,840432.0,10.34
15,16,7.11,838760.0,10.32
16,17,5.83,843192.0,10.38
17,18,8.64,842364.0,10.37
18,19,5.99,841932.0,10.36
19,20,6.88,846152.0,10.41
20,21,9.81,847660.0,10.43
21,22,5.66,845064.0,10.4
22,23,8.08,846224.0,10.41
23,24,7.06,847248.0,10.43
24,25,7.17,850432.0,10.47
25,26,7.17,850100.0,10.46
26,27,6.31,851560.0,10.48
27,28,7.39,852724.0,10.49
28,29,5.26,852832.0,10.5
29,30,5.78,854936.0,10.52
30,31,4.96,855296.0,10.53
31,32,5.14,855900.0,10.53
32,33,4.8,853440.0,10.5
33,34,5.76,856316.0,10.54
34,35,5.63,865832.0,10.66
35,36,5.56,866344.0,10.66
36,37,5.23,867724.0,10.68
37,38,5.94,866008.0,10.66
38,39,6.12,868580.0,10.69
39,40,4.35,868776.0,10.69
40,41,4.71,868392.0,10.69
41,42,4.61,870596.0,10.71
42,43,5.04,872292.0,10.73
43,44,5.39,871536.0,10.73
44,45,4.91,870044.0,10.71
45,46,5.69,872860.0,10.74
46,47,5.71,872100.0,10.73
47,48,4.14,872956.0,10.74
48,49,5.89,871684.0,10.73
49,50,5.16,873772.0,10.75
50,51,4.63,871780.0,10.73
51,52,5.92,872040.0,10.73
52,53,5.94,871528.0,10.73
53,54,4.81,871996.0,10.73
54,55,5.91,871084.0,10.72
55,56,4.49,874036.0,10.76
56,57,4.44,870992.0,10.72
57,58,4.38,872004.0,10.73
