,time_period,cpu,rss,memory
0,1,23.52,1162864.0,14.31
1,2,18.14,1191804.0,14.67
2,3,16.28,1199080.0,14.76
3,4,14.74,1201900.0,14.79
4,5,16.98,1208828.0,14.88
5,6,14.21,1206008.0,14.84
6,7,9.73,1206892.0,14.85
7,8,11.5,1208920.0,14.88
8,9,11.74,1211380.0,14.91
9,10,10.24,1214824.0,14.95
10,11,9.33,1213692.0,14.94
11,12,12.28,1214428.0,14.95
12,13,10.44,1219120.0,15.0
13,14,8.43,1221000.0,15.03
14,15,9.23,1215676.0,14.96
15,16,9.72,1215796.0,14.96
16,17,8.74,1217036.0,14.98
17,18,8.91,1215680.0,14.96
18,19,8.74,1219764.0,15.01
19,20,7.83,1216888.0,14.98
20,21,9.56,1224512.0,15.07
21,22,7.0,1222100.0,15.04
22,23,8.59,1227700.0,15.11
23,24,7.09,1226092.0,15.09
24,25,6.42,1227436.0,15.11
25,26,7.42,1227708.0,15.11
26,27,6.38,1232340.0,15.17
27,28,8.67,1232844.0,15.17
28,29,3.28,1232692.0,15.17
29,30,6.38,1232420.0,15.17
30,31,4.24,1236212.0,15.21
31,32,7.49,1233616.0,15.18
32,33,5.38,1234452.0,15.19
33,34,5.31,1234328.0,15.19
34,35,5.49,1235848.0,15.21
35,36,5.12,1236196.0,15.21
36,37,4.67,1237236.0,15.23
37,38,4.98,1235256.0,15.2
38,39,4.48,1238720.0,15.24
39,40,6.94,1236752.0,15.22
40,41,6.22,1238324.0,15.24
41,42,6.28,1236864.0,15.22
42,43,6.59,1238964.0,15.25
43,44,5.15,1238156.0,15.24
44,45,6.17,1240372.0,15.26
45,46,4.93,1238956.0,15.25
46,47,4.63,1240868.0,15.27
47,48,5.84,1240068.0,15.26
48,49,5.32,1244960.0,15.32
49,50,5.21,1244160.0,15.31
50,51,6.04,1244540.0,15.32
51,52,6.6,1245112.0,15.32
52,53,6.46,1243196.0,15.3
53,54,5.83,1243460.0,15.3
54,55,7.99,1245112.0,15.32
55,56,4.41,1243928.0,15.31
56,57,4.71,1243812.0,15.31
57,58,5.41,1244584.0,15.32
