,time_period,cpu,rss,memory
0,1,23.52,1190492.0,14.65
1,2,17.62,1195292.0,14.71
2,3,19.82,1201736.0,14.79
3,4,12.59,1205188.0,14.83
4,5,13.85,1209928.0,14.89
5,6,14.84,1212376.0,14.92
6,7,11.19,1210084.0,14.89
7,8,9.04,1212860.0,14.93
8,9,14.77,1220504.0,15.02
9,10,8.6,1221172.0,15.03
10,11,8.46,1221220.0,15.03
11,12,9.26,1222652.0,15.05
12,13,10.29,1223432.0,15.06
13,14,7.6,1223840.0,15.06
14,15,9.43,1225424.0,15.08
15,16,8.99,1227836.0,15.11
16,17,10.15,1227404.0,15.1
17,18,7.11,1228808.0,15.12
18,19,7.3,1226336.0,15.09
19,20,9.12,1229620.0,15.13
20,21,8.47,1231552.0,15.16
21,22,6.63,1231252.0,15.15
22,23,6.54,1232420.0,15.17
23,24,6.89,1232808.0,15.17
24,25,6.22,1234360.0,15.19
25,26,7.39,1236760.0,15.22
26,27,7.01,1238456.0,15.24
27,28,6.64,1237548.0,15.23
28,29,5.26,1238516.0,15.24
29,30,5.93,1237588.0,15.23
30,31,6.31,1240716.0,15.27
31,32,5.97,1240016.0,15.26
32,33,6.34,1243920.0,15.31
33,34,5.79,1242488.0,15.29
34,35,6.72,1241760.0,15.28
35,36,7.77,1243988.0,15.31
36,37,6.28,1245108.0,15.32
37,38,5.94,1245556.0,15.33
38,39,6.18,1246636.0,15.34
39,40,5.67,1246928.0,15.34
40,41,6.94,1249872.0,15.38
41,42,8.88,1247708.0,15.35
42,43,6.31,1251020.0,15.4
43,44,8.87,1250972.0,15.39
44,45,7.53,1250896.0,15.39
45,46,6.56,1249920.0,15.38
46,47,7.27,1250848.0,15.39
47,48,5.93,1250524.0,15.39
48,49,6.46,1252672.0,15.42
49,50,5.52,1250164.0,15.38
50,51,6.23,1252156.0,15.41
51,52,6.67,1251104.0,15.4
52,53,6.62,1250788.0,15.39
53,54,6.02,1253108.0,15.42
54,55,4.97,1251676.0,15.4
55,56,5.42,1255212.0,15.45
56,57,5.31,1253276.0,15.42
57,58,6.36,1253672.0,15.43
