,time_period,cpu,rss,memory
0,1,22.68,1022688.0,12.59
1,2,18.82,1030232.0,12.68
2,3,16.8,1028532.0,12.66
3,4,15.86,1038020.0,12.77
4,5,16.02,1039976.0,12.8
5,6,12.68,1043580.0,12.84
6,7,13.59,1046988.0,12.88
7,8,12.07,1047312.0,12.89
8,9,9.59,1047384.0,12.89
9,10,12.88,1050824.0,12.93
10,11,9.32,1051188.0,12.94
11,12,9.97,1054440.0,12.98
12,13,10.72,1054488.0,12.98
13,14,11.48,1060384.0,13.05
14,15,11.22,1058744.0,13.03
15,16,8.83,1058600.0,13.03
16,17,8.84,1060816.0,13.05
17,18,11.58,1064088.0,13.09
18,19,9.13,1063068.0,13.08
19,20,11.19,1067308.0,13.13
20,21,9.42,1068444.0,13.15
21,22,8.78,1069912.0,13.17
22,23,7.24,1066896.0,13.13
23,24,7.92,1070688.0,13.18
24,25,9.5,1070824.0,13.18
25,26,7.73,1068920.0,13.15
26,27,6.65,1069368.0,13.16
27,28,12.77,1071852.0,13.19
28,29,5.26,1073332.0,13.21
29,30,7.36,1075356.0,13.23
30,31,5.6,1073768.0,13.21
31,32,6.73,1074700.0,13.23
32,33,7.02,1075560.0,13.24
33,34,6.14,1077360.0,13.26
34,35,8.54,1078636.0,13.27
35,36,8.19,1078880.0,13.28
36,37,5.77,1079496.0,13.28
37,38,5.79,1080280.0,13.29
38,39,5.82,1081528.0,13.31
39,40,6.54,1078900.0,13.28
40,41,6.03,1081444.0,13.31
41,42,7.36,1083600.0,13.34
42,43,6.26,1083312.0,13.33
43,44,7.99,1085772.0,13.36
44,45,6.28,1084140.0,13.34
45,46,6.99,1086292.0,13.37
46,47,6.3,1085272.0,13.36
47,48,6.12,1088688.0,13.4
48,49,6.29,1089332.0,13.41
49,50,8.51,1088728.0,13.4
50,51,5.06,1090980.0,13.43
51,52,5.06,1090724.0,13.42
52,53,6.16,1090568.0,13.42
53,54,5.79,1090984.0,13.43
54,55,5.52,1093104.0,13.45
55,56,4.77,1091512.0,13.43
56,57,9.85,1093448.0,13.46
57,58,5.54,1090756.0,13.42
