,time_period,cpu,rss,memory
0,1,21.59,1504044.0,18.51
1,2,16.39,1508916.0,18.57
2,3,13.58,1513912.0,18.63
3,4,12.4,1530784.0,18.84
4,5,13.02,1531740.0,18.85
5,6,11.33,1536560.0,18.91
6,7,11.55,1537368.0,18.92
7,8,10.71,1543520.0,18.99
8,9,8.02,1543540.0,19.0
9,10,12.78,1556228.0,19.15
10,11,11.03,1555120.0,19.14
11,12,11.7,1560208.0,19.2
12,13,6.89,1556804.0,19.16
13,14,7.17,1559976.0,19.2
14,15,8.66,1558832.0,19.18
15,16,8.71,1559856.0,19.2
16,17,6.34,1559744.0,19.19
17,18,7.26,1562520.0,19.23
18,19,7.03,1563500.0,19.24
19,20,6.91,1561888.0,19.22
20,21,9.99,1562908.0,19.23
21,22,6.39,1566496.0,19.28
22,23,9.36,1563816.0,19.24
23,24,6.77,1564392.0,19.25
24,25,7.03,1564924.0,19.26
25,26,6.44,1566416.0,19.28
26,27,6.22,1568692.0,19.3
27,28,5.96,1569764.0,19.32
28,29,3.56,1570252.0,19.32
29,30,5.58,1571296.0,19.34
30,31,5.32,1571972.0,19.35
31,32,7.49,1571892.0,19.34
32,33,6.42,1571984.0,19.35
33,34,5.9,1575928.0,19.39
34,35,6.38,1575320.0,19.39
35,36,5.72,1576212.0,19.4
36,37,7.53,1576820.0,19.4
37,38,5.91,1577704.0,19.42
38,39,7.06,1577824.0,19.42
39,40,5.23,1580188.0,19.45
40,41,6.78,1579240.0,19.43
41,42,6.3,1580340.0,19.45
42,43,8.62,1577664.0,19.42
43,44,5.42,1579388.0,19.44
44,45,5.88,1581180.0,19.46
45,46,4.89,1580788.0,19.45
46,47,6.45,1578548.0,19.43
47,48,5.98,1583408.0,19.49
48,49,7.49,1582120.0,19.47
49,50,5.28,1581960.0,19.47
50,51,10.35,1580312.0,19.45
51,52,6.08,1582960.0,19.48
52,53,6.85,1584044.0,19.49
53,54,6.14,1585924.0,19.52
54,55,4.95,1584472.0,19.5
55,56,4.94,1587628.0,19.54
56,57,5.74,1585700.0,19.51
57,58,5.74,1587356.0,19.53
