,time_period,cpu,rss,memory
0,1,19.24,1240868.0,15.27
1,2,17.48,1289316.0,15.87
2,3,15.47,1323208.0,16.28
3,4,13.55,1338416.0,16.47
4,5,11.21,1320272.0,16.25
5,6,13.41,1326908.0,16.33
6,7,9.87,1329816.0,16.37
7,8,10.97,1330876.0,16.38
8,9,9.66,1339160.0,16.48
9,10,9.01,1339308.0,16.48
10,11,7.8,1339428.0,16.48
11,12,8.05,1343680.0,16.54
12,13,7.14,1341356.0,16.51
13,14,9.28,1340424.0,16.5
14,15,6.31,1341516.0,16.51
15,16,6.29,1342312.0,16.52
16,17,8.98,1346260.0,16.57
17,18,6.62,1335200.0,16.43
18,19,6.34,1335436.0,16.43
19,20,8.39,1332852.0,16.4
20,21,8.09,1334652.0,16.42
21,22,6.71,1334100.0,16.42
22,23,5.42,1333264.0,16.41
23,24,5.94,1332984.0,16.4
24,25,6.47,1332840.0,16.4
25,26,7.21,1333900.0,16.42
26,27,5.68,1336404.0,16.45
27,28,5.34,1334136.0,16.42
28,29,4.25,1338060.0,16.47
29,30,6.24,1337204.0,16.46
30,31,6.44,1345900.0,16.56
31,32,6.66,1345396.0,16.56
32,33,6.29,1352312.0,16.64
33,34,6.48,1353608.0,16.66
34,35,4.96,1351488.0,16.63
35,36,7.75,1356876.0,16.7
36,37,8.39,1356332.0,16.69
37,38,5.93,1357128.0,16.7
38,39,6.09,1359068.0,16.72
39,40,6.24,1358748.0,16.72
40,41,5.53,1359248.0,16.73
41,42,6.17,1360172.0,16.74
42,43,6.95,1358044.0,16.71
43,44,7.95,1356536.0,16.69
44,45,5.64,1357660.0,16.71
45,46,6.4,1360364.0,16.74
46,47,5.71,1359532.0,16.73
47,48,5.36,1361764.0,16.76
48,49,5.56,1363788.0,16.78
49,50,6.19,1363908.0,16.78
50,51,6.78,1361972.0,16.76
51,52,6.09,1362844.0,16.77
52,53,7.36,1366772.0,16.82
53,54,8.52,1364112.0,16.79
54,55,6.38,1365056.0,16.8
55,56,5.61,1366764.0,16.82
56,57,5.96,1367252.0,16.83
57,58,5.09,1366540.0,16.82
