,time_period,cpu,rss,memory
0,1,22.73,820400.0,10.1
1,2,17.12,823600.0,10.14
2,3,17.46,831952.0,10.24
3,4,16.43,836668.0,10.3
4,5,14.0,838060.0,10.31
5,6,15.77,843456.0,10.38
6,7,14.35,846204.0,10.41
7,8,11.99,848772.0,10.45
8,9,13.13,848864.0,10.45
9,10,16.05,874956.0,10.77
10,11,7.44,875376.0,10.77
11,12,10.46,876580.0,10.79
12,13,9.66,879528.0,10.82
13,14,8.68,875768.0,10.78
14,15,9.63,878296.0,10.81
15,16,8.0,878396.0,10.81
16,17,9.8,880564.0,10.84
17,18,8.94,879640.0,10.83
18,19,6.05,882604.0,10.86
19,20,10.0,884108.0,10.88
20,21,8.08,885852.0,10.9
21,22,7.26,885720.0,10.9
22,23,8.41,887024.0,10.92
23,24,7.13,884944.0,10.89
24,25,7.03,888608.0,10.94
25,26,8.02,888472.0,10.93
26,27,7.42,891048.0,10.97
27,28,10.5,892192.0,10.98
28,29,4.38,891832.0,10.98
29,30,5.51,892272.0,10.98
30,31,5.01,891592.0,10.97
31,32,5.76,891228.0,10.97
32,33,6.01,894468.0,11.01
33,34,5.16,892676.0,10.99
34,35,4.81,895656.0,11.02
35,36,6.28,893436.0,10.99
36,37,5.31,896960.0,11.04
37,38,4.91,897264.0,11.04
38,39,5.08,898560.0,11.06
39,40,6.96,898424.0,11.06
40,41,4.18,901548.0,11.09
41,42,5.64,899992.0,11.08
42,43,5.46,900248.0,11.08
43,44,6.26,903232.0,11.12
44,45,7.53,904456.0,11.13
45,46,5.81,903276.0,11.12
46,47,7.32,903968.0,11.12
47,48,5.08,902388.0,11.1
48,49,5.71,903024.0,11.11
49,50,4.49,901856.0,11.1
50,51,4.98,902288.0,11.1
51,52,5.31,902428.0,11.11
52,53,4.83,905228.0,11.14
53,54,5.08,904228.0,11.13
54,55,5.11,904016.0,11.13
55,56,5.73,907388.0,11.17
56,57,4.64,909228.0,11.19
57,58,5.81,906996.0,11.16
