,time_period,cpu,rss,memory
0,1,20.77,1567036.0,19.28
1,2,14.27,1574320.0,19.37
2,3,13.66,1617652.0,19.91
3,4,13.86,1623456.0,19.98
4,5,13.28,1633604.0,20.1
5,6,11.01,1641584.0,20.2
6,7,9.36,1637820.0,20.16
7,8,10.69,1655000.0,20.37
8,9,7.11,1655580.0,20.37
9,10,9.94,1657740.0,20.4
10,11,10.43,1661692.0,20.45
11,12,7.82,1660724.0,20.44
12,13,7.86,1663720.0,20.47
13,14,5.52,1658052.0,20.4
14,15,9.34,1664372.0,20.48
15,16,8.19,1661652.0,20.45
16,17,10.82,1665596.0,20.5
17,18,8.22,1665128.0,20.49
18,19,6.49,1658320.0,20.41
19,20,6.91,1657548.0,20.4
20,21,6.61,1659944.0,20.43
21,22,6.41,1664212.0,20.48
22,23,6.27,1663240.0,20.47
23,24,6.99,1664848.0,20.49
24,25,4.9,1665220.0,20.49
25,26,5.43,1668308.0,20.53
26,27,5.87,1669996.0,20.55
27,28,4.68,1670956.0,20.56
28,29,4.48,1671776.0,20.57
29,30,6.54,1671332.0,20.57
30,31,8.69,1672232.0,20.58
31,32,6.89,1674976.0,20.61
32,33,6.77,1675960.0,20.62
33,34,6.71,1673888.0,20.6
34,35,5.31,1675776.0,20.62
35,36,6.96,1675708.0,20.62
36,37,6.17,1678532.0,20.66
37,38,6.43,1678580.0,20.66
38,39,7.26,1677972.0,20.65
39,40,9.46,1677652.0,20.65
40,41,6.43,1676584.0,20.63
41,42,9.15,1682188.0,20.7
42,43,6.7,1681444.0,20.69
43,44,6.98,1681232.0,20.69
44,45,7.84,1683904.0,20.72
45,46,8.06,1685408.0,20.74
46,47,8.27,1685760.0,20.75
47,48,7.02,1685192.0,20.74
48,49,6.9,1684016.0,20.72
49,50,7.62,1687704.0,20.77
50,51,5.97,1685612.0,20.74
51,52,6.46,1688872.0,20.78
52,53,8.1,1689636.0,20.79
53,54,6.38,1687852.0,20.77
54,55,7.04,1686680.0,20.76
55,56,6.53,1688648.0,20.78
56,57,6.36,1686436.0,20.75
57,58,6.36,1688680.0,20.78
