,time_period,cpu,rss,memory
0,1,22.57,1320388.0,16.25
1,2,17.07,1348768.0,16.6
2,3,14.31,1350156.0,16.62
3,4,10.06,1374464.0,16.91
4,5,12.46,1375640.0,16.93
5,6,10.16,1381796.0,17.0
6,7,9.53,1381156.0,17.0
7,8,7.97,1381428.0,17.0
8,9,10.75,1381680.0,17.0
9,10,9.9,1385024.0,17.04
10,11,8.01,1386072.0,17.06
11,12,7.16,1382328.0,17.01
12,13,7.68,1387732.0,17.08
13,14,6.81,1382660.0,17.02
14,15,8.49,1389928.0,17.1
15,16,8.19,1391792.0,17.13
16,17,6.55,1394708.0,17.16
17,18,8.36,1392964.0,17.14
18,19,9.72,1400280.0,17.23
19,20,6.04,1393996.0,17.15
20,21,6.08,1394048.0,17.16
21,22,4.94,1393272.0,17.15
22,23,4.84,1391888.0,17.13
23,24,5.47,1393056.0,17.14
24,25,6.31,1395192.0,17.17
25,26,6.78,1392660.0,17.14
26,27,5.16,1394444.0,17.16
27,28,9.63,1393332.0,17.15
28,29,3.71,1397396.0,17.2
29,30,6.3,1395628.0,17.17
30,31,5.78,1398640.0,17.21
31,32,8.67,1400540.0,17.24
32,33,6.47,1402392.0,17.26
33,34,5.47,1402304.0,17.26
34,35,4.63,1405284.0,17.29
35,36,4.79,1405104.0,17.29
36,37,5.49,1405628.0,17.3
37,38,6.04,1403192.0,17.27
38,39,4.63,1408600.0,17.33
39,40,5.06,1407068.0,17.32
40,41,6.35,1408488.0,17.33
41,42,5.86,1404972.0,17.29
42,43,6.41,1408892.0,17.34
43,44,5.08,1409244.0,17.34
44,45,4.67,1409020.0,17.34
45,46,5.62,1411016.0,17.36
46,47,5.54,1413588.0,17.4
47,48,5.17,1412620.0,17.38
48,49,4.87,1414136.0,17.4
49,50,5.84,1415636.0,17.42
50,51,4.33,1415300.0,17.42
51,52,6.72,1412616.0,17.38
52,53,4.63,1416672.0,17.43
53,54,8.86,1415956.0,17.43
54,55,6.72,1414412.0,17.41
55,56,4.23,1415016.0,17.41
56,57,4.74,1416412.0,17.43
57,58,5.41,1415264.0,17.42
