,time_period,cpu,rss,memory
0,1,21.37,835308.0,10.28
1,2,17.61,844832.0,10.4
2,3,13.54,847516.0,10.43
3,4,14.23,851612.0,10.48
4,5,14.41,852920.0,10.5
5,6,9.97,855360.0,10.53
6,7,8.79,859864.0,10.58
7,8,8.72,861852.0,10.61
8,9,8.84,863300.0,10.62
9,10,10.05,863752.0,10.63
10,11,8.93,866140.0,10.66
11,12,10.64,867828.0,10.68
12,13,8.92,869448.0,10.7
13,14,8.38,869416.0,10.7
14,15,7.87,870432.0,10.71
15,16,7.35,869228.0,10.7
16,17,6.49,870240.0,10.71
17,18,8.58,871368.0,10.72
18,19,6.53,870908.0,10.72
19,20,6.44,871596.0,10.73
20,21,9.73,872844.0,10.74
21,22,6.22,873144.0,10.75
22,23,8.98,876396.0,10.79
23,24,5.74,875688.0,10.78
24,25,5.08,877108.0,10.79
25,26,5.98,877872.0,10.8
26,27,5.28,877312.0,10.8
27,28,6.91,875772.0,10.78
28,29,4.88,879584.0,10.82
29,30,6.86,879340.0,10.82
30,31,7.17,881908.0,10.85
31,32,5.16,882436.0,10.86
32,33,6.38,881908.0,10.85
33,34,6.27,885436.0,10.9
34,35,5.4,884500.0,10.88
35,36,6.5,884964.0,10.89
36,37,6.51,886408.0,10.91
37,38,7.26,886448.0,10.91
38,39,5.56,889380.0,10.94
39,40,6.21,888556.0,10.93
40,41,5.91,886048.0,10.9
41,42,5.33,888344.0,10.93
42,43,7.68,888504.0,10.93
43,44,5.64,891156.0,10.97
44,45,6.06,891264.0,10.97
45,46,6.35,890920.0,10.96
46,47,5.18,892632.0,10.98
47,48,5.85,892012.0,10.98
48,49,5.54,892256.0,10.98
49,50,5.46,895672.0,11.02
50,51,6.68,893168.0,10.99
51,52,5.23,893208.0,10.99
52,53,5.32,895252.0,11.02
53,54,8.67,896648.0,11.03
54,55,6.54,892944.0,10.99
55,56,5.42,892904.0,10.99
56,57,6.57,894596.0,11.01
57,58,5.49,896368.0,11.03
