,time_period,cpu,rss,memory
0,1,20.36,1546036.0,19.03
1,2,17.09,1628248.0,20.04
2,3,15.86,1649552.0,20.3
3,4,12.97,1642824.0,20.22
4,5,14.47,1649232.0,20.3
5,6,11.04,1651816.0,20.33
6,7,10.65,1655688.0,20.38
7,8,9.91,1654576.0,20.36
8,9,10.01,1668260.0,20.53
9,10,8.4,1656460.0,20.38
10,11,7.57,1658664.0,20.41
11,12,8.74,1661284.0,20.44
12,13,8.31,1664312.0,20.48
13,14,8.03,1665900.0,20.5
14,15,8.01,1667408.0,20.52
15,16,7.01,1665544.0,20.5
16,17,8.78,1677724.0,20.65
17,18,6.08,1669560.0,20.55
18,19,6.17,1661568.0,20.45
19,20,7.99,1664368.0,20.48
20,21,8.2,1667044.0,20.52
21,22,5.35,1669024.0,20.54
22,23,6.1,1664960.0,20.49
23,24,5.55,1663464.0,20.47
24,25,6.18,1664496.0,20.48
25,26,8.33,1663044.0,20.47
26,27,5.66,1663212.0,20.47
27,28,5.43,1663240.0,20.47
28,29,3.91,1662628.0,20.46
29,30,5.54,1666712.0,20.51
30,31,6.43,1661776.0,20.45
31,32,8.58,1664424.0,20.48
32,33,5.2,1667272.0,20.52
33,34,5.57,1668968.0,20.54
34,35,6.43,1666848.0,20.51
35,36,6.15,1669804.0,20.55
36,37,4.55,1668944.0,20.54
37,38,6.79,1670256.0,20.55
38,39,6.5,1673468.0,20.59
39,40,6.39,1673216.0,20.59
40,41,5.49,1673036.0,20.59
41,42,6.61,1672860.0,20.59
42,43,5.73,1673964.0,20.6
43,44,7.0,1676144.0,20.63
44,45,4.36,1679168.0,20.66
45,46,5.53,1680572.0,20.68
46,47,5.13,1678984.0,20.66
47,48,6.06,1677996.0,20.65
48,49,7.11,1676872.0,20.64
49,50,5.29,1676996.0,20.64
50,51,6.34,1681488.0,20.69
51,52,6.41,1681176.0,20.69
52,53,5.94,1683528.0,20.72
53,54,8.11,1687760.0,20.77
54,55,5.0,1687260.0,20.76
55,56,5.94,1687968.0,20.77
56,57,6.67,1693080.0,20.84
57,58,4.79,1692100.0,20.82
