,time_period,cpu,rss,memory
0,1,19.7,1414372.0,17.41
1,2,18.71,1467088.0,18.05
2,3,17.25,1473620.0,18.13
3,4,14.98,1483836.0,18.26
4,5,13.72,1487280.0,18.3
5,6,10.6,1488056.0,18.31
6,7,11.79,1490400.0,18.34
7,8,11.79,1488620.0,18.32
8,9,10.56,1491684.0,18.36
9,10,9.61,1490396.0,18.34
10,11,9.52,1493012.0,18.37
11,12,10.88,1493132.0,18.37
12,13,13.06,1498744.0,18.44
13,14,8.66,1494276.0,18.39
14,15,7.61,1497928.0,18.43
15,16,8.64,1493076.0,18.37
16,17,7.75,1494148.0,18.39
17,18,7.44,1494508.0,18.39
18,19,9.22,1499868.0,18.46
19,20,9.61,1500784.0,18.47
20,21,7.96,1502444.0,18.49
21,22,7.83,1503320.0,18.5
22,23,6.64,1503512.0,18.5
23,24,7.53,1503452.0,18.5
24,25,6.87,1505364.0,18.53
25,26,7.55,1507532.0,18.55
26,27,6.06,1506772.0,18.54
27,28,8.51,1507048.0,18.55
28,29,5.21,1508580.0,18.56
29,30,6.56,1511188.0,18.6
30,31,5.49,1510852.0,18.59
31,32,8.04,1512620.0,18.61
32,33,6.64,1513500.0,18.63
33,34,6.12,1512768.0,18.62
34,35,6.39,1513560.0,18.63
35,36,6.38,1512600.0,18.61
36,37,6.07,1516296.0,18.66
37,38,7.59,1514488.0,18.64
38,39,7.33,1514672.0,18.64
39,40,6.99,1514864.0,18.64
40,41,6.64,1513852.0,18.63
41,42,5.51,1513320.0,18.62
42,43,7.3,1515604.0,18.65
43,44,6.32,1522488.0,18.74
44,45,6.92,1521868.0,18.73
45,46,7.37,1520964.0,18.72
46,47,7.31,1524276.0,18.76
47,48,7.1,1523736.0,18.75
48,49,6.12,1524328.0,18.76
49,50,5.21,1522708.0,18.74
50,51,6.54,1525632.0,18.77
51,52,6.51,1526884.0,18.79
52,53,7.95,1526316.0,18.78
53,54,8.19,1525840.0,18.78
54,55,6.61,1529240.0,18.82
55,56,4.74,1529040.0,18.82
56,57,5.16,1528316.0,18.81
57,58,6.31,1531412.0,18.85
