,time_period,cpu,rss,memory
0,1,22.92,1424924.0,17.54
1,2,18.07,1488740.0,18.32
2,3,14.77,1493604.0,18.38
3,4,13.45,1497188.0,18.42
4,5,13.16,1500000.0,18.46
5,6,12.43,1502208.0,18.49
6,7,14.49,1506420.0,18.54
7,8,11.35,1507116.0,18.55
8,9,12.48,1510556.0,18.59
9,10,10.33,1510316.0,18.59
10,11,8.51,1505840.0,18.53
11,12,11.77,1511100.0,18.6
12,13,12.2,1516888.0,18.67
13,14,9.03,1517888.0,18.68
14,15,11.26,1519328.0,18.7
15,16,8.41,1522000.0,18.73
16,17,8.3,1521000.0,18.72
17,18,9.64,1523100.0,18.74
18,19,8.79,1524620.0,18.76
19,20,7.85,1526932.0,18.79
20,21,8.64,1526172.0,18.78
21,22,7.4,1528868.0,18.81
22,23,8.93,1529168.0,18.82
23,24,7.2,1529148.0,18.82
24,25,8.19,1529640.0,18.82
25,26,6.33,1531372.0,18.85
26,27,7.51,1532628.0,18.86
27,28,8.45,1532712.0,18.86
28,29,4.23,1533836.0,18.88
29,30,7.62,1535000.0,18.89
30,31,5.59,1534092.0,18.88
31,32,6.53,1535484.0,18.9
32,33,6.08,1534292.0,18.88
33,34,6.08,1537988.0,18.93
34,35,5.66,1538604.0,18.93
35,36,5.88,1537356.0,18.92
36,37,6.12,1536808.0,18.91
37,38,7.25,1542888.0,18.99
38,39,7.98,1540152.0,18.95
39,40,6.74,1542672.0,18.98
40,41,5.72,1541084.0,18.96
41,42,8.3,1544516.0,19.01
42,43,5.98,1543276.0,18.99
43,44,6.81,1544604.0,19.01
44,45,7.6,1544312.0,19.0
45,46,7.14,1545496.0,19.02
46,47,6.15,1546580.0,19.03
47,48,7.22,1545400.0,19.02
48,49,5.96,1542960.0,18.99
49,50,6.52,1546468.0,19.03
50,51,5.06,1547488.0,19.04
51,52,5.01,1548868.0,19.06
52,53,6.4,1548004.0,19.05
53,54,6.57,1550844.0,19.09
54,55,6.51,1554920.0,19.14
55,56,6.56,1554952.0,19.14
56,57,5.56,1554948.0,19.14
57,58,5.15,1555720.0,19.15
