,time_period,x1200,x2302,x3200,x4200,x5302,x6302,x7200,x8200,x9302,x9b302,x9c200,x9d200,cluster,stability,diversity,measurement
34,35,4.0,3.0,7.0,23.0,4.0,15.0,9.0,46.0,10.0,8.0,4.0,7.0,2,0.6545454545454545,0.5636363636363636,1.2181818181818183
35,36,5.0,5.0,5.0,23.0,3.0,4.0,11.0,40.0,16.0,9.0,2.0,12.0,3,0.18181818181818182,0.7090909090909091,0.8909090909090909
36,37,5.0,2.0,5.0,16.0,5.0,12.0,8.0,50.0,14.0,11.0,5.0,11.0,2,0.43636363636363634,0.12727272727272726,0.5636363636363636
37,38,2.0,4.0,6.0,16.0,6.0,7.0,11.0,51.0,18.0,9.0,2.0,10.0,2,0.4,0.10909090909090909,0.5090909090909091
38,39,8.0,2.0,5.0,21.0,2.0,3.0,7.0,42.0,13.0,12.0,2.0,9.0,3,0.8545454545454545,0.5272727272727272,1.3818181818181818
39,40,5.0,0.0,6.0,25.0,6.0,7.0,9.0,41.0,13.0,12.0,3.0,11.0,2,0.9272727272727272,0.8727272727272727,1.7999999999999998
40,41,8.0,2.0,13.0,14.0,3.0,8.0,7.0,47.0,16.0,12.0,3.0,8.0,2,0.5636363636363636,0.09090909090909091,0.6545454545454545
41,42,2.0,5.0,7.0,21.0,4.0,12.0,13.0,43.0,8.0,9.0,6.0,6.0,2,0.8,0.4727272727272727,1.2727272727272727
42,43,1.0,2.0,7.0,19.0,2.0,10.0,10.0,39.0,13.0,8.0,8.0,16.0,2,0.21818181818181817,0.6363636363636364,0.8545454545454545
43,44,7.0,3.0,3.0,23.0,1.0,8.0,8.0,39.0,17.0,6.0,4.0,10.0,3,0.5454545454545454,0.6545454545454545,1.2
44,45,2.0,0.0,7.0,14.0,3.0,8.0,18.0,43.0,15.0,13.0,2.0,12.0,2,0.8909090909090909,0.509090909090909,1.4
45,46,6.0,2.0,7.0,23.0,2.0,11.0,8.0,38.0,8.0,9.0,4.0,14.0,2,0.7636363636363637,0.9090909090909091,1.6727272727272728
46,47,2.0,5.0,8.0,15.0,3.0,11.0,10.0,51.0,21.0,7.0,4.0,10.0,2,0.23636363636363636,0.07272727272727272,0.3090909090909091
47,48,9.0,4.0,8.0,22.0,5.0,12.0,8.0,43.0,10.0,5.0,4.0,6.0,2,0.7818181818181819,0.3090909090909091,1.0909090909090908
48,49,6.0,4.0,11.0,17.0,4.0,8.0,8.0,42.0,12.0,10.0,5.0,8.0,2,0.8363636363636363,0.14545454545454545,0.9818181818181817
49,50,4.0,3.0,9.0,18.0,3.0,5.0,11.0,47.0,18.0,10.0,3.0,6.0,2,0.6727272727272727,0.2,0.8727272727272728
50,51,3.0,3.0,11.0,21.0,6.0,8.0,14.0,37.0,11.0,9.0,3.0,7.0,2,0.6363636363636364,0.7454545454545455,1.3818181818181818
51,52,6.0,2.0,7.0,25.0,6.0,4.0,10.0,39.0,11.0,14.0,2.0,10.0,2,0.7454545454545455,0.9272727272727272,1.6727272727272728
52,53,4.0,4.0,10.0,18.0,0.0,11.0,9.0,44.0,11.0,14.0,7.0,8.0,2,0.09090909090909091,0.36363636363636365,0.4545454545454546
53,54,5.0,3.0,10.0,13.0,2.0,12.0,12.0,49.0,16.0,10.0,4.0,7.0,2,0.2909090909090909,0.01818181818181818,0.3090909090909091
54,55,6.0,5.0,7.0,24.0,2.0,4.0,8.0,38.0,8.0,11.0,5.0,11.0,3,0.01818181818181818,0.8909090909090909,0.9090909090909091
