,time_period,x1200,x2302,x3200,x4200,x5302,x6302,x7200,x8200,x9302,x9b302,x9c200,x9d200,cluster,stability,diversity,measurement
0,1,1.0,8.0,8.0,4.0,4.0,3.0,12.0,40.0,18.0,0.0,13.0,20.0,2,0.05454545454545454,0.7272727272727273,0.7818181818181819
1,2,2.0,4.0,15.0,5.0,5.0,4.0,6.0,41.0,14.0,7.0,9.0,22.0,2,0.07272727272727272,0.6,0.6727272727272727
2,3,3.0,3.0,24.0,4.0,4.0,3.0,10.0,32.0,15.0,2.0,10.0,16.0,3,0.23636363636363636,0.8909090909090909,1.1272727272727272
3,4,3.0,6.0,21.0,1.0,5.0,3.0,12.0,40.0,15.0,2.0,7.0,16.0,2,0.34545454545454546,0.7090909090909091,1.0545454545454547
4,5,3.0,5.0,7.0,5.0,3.0,5.0,7.0,40.0,23.0,1.0,12.0,17.0,2,0.03636363636363636,0.6727272727272727,0.7090909090909091
5,6,1.0,4.0,13.0,4.0,3.0,4.0,10.0,41.0,19.0,5.0,13.0,18.0,2,0.7454545454545455,0.5818181818181818,1.3272727272727272
6,7,1.0,2.0,10.0,5.0,5.0,6.0,10.0,41.0,20.0,2.0,10.0,23.0,2,0.9818181818181818,0.8,1.7818181818181817
7,8,1.0,3.0,16.0,4.0,2.0,0.0,12.0,28.0,13.0,3.0,17.0,21.0,3,0.41818181818181815,1.0,1.4181818181818182
8,9,2.0,3.0,12.0,2.0,9.0,3.0,10.0,39.0,17.0,5.0,14.0,21.0,2,0.6545454545454545,0.7636363636363637,1.4181818181818182
9,10,6.0,5.0,10.0,3.0,1.0,6.0,12.0,38.0,15.0,4.0,8.0,15.0,2,0.3090909090909091,0.5454545454545454,0.8545454545454545
10,11,3.0,7.0,8.0,1.0,3.0,4.0,8.0,50.0,23.0,5.0,10.0,19.0,2,0.6727272727272727,0.43636363636363634,1.1090909090909091
11,12,6.0,4.0,12.0,5.0,3.0,3.0,5.0,39.0,21.0,3.0,9.0,24.0,2,0.16363636363636364,0.7818181818181819,0.9454545454545455
12,13,4.0,3.0,17.0,3.0,2.0,3.0,9.0,31.0,14.0,2.0,16.0,19.0,3,0.9272727272727272,0.9454545454545454,1.8727272727272726
13,14,3.0,4.0,19.0,4.0,1.0,3.0,10.0,33.0,15.0,3.0,8.0,23.0,3,0.5272727272727272,0.9272727272727272,1.4545454545454546
14,15,3.0,5.0,12.0,2.0,4.0,3.0,11.0,42.0,24.0,1.0,9.0,21.0,2,0.01818181818181818,0.8363636363636363,0.8545454545454545
15,16,3.0,1.0,14.0,4.0,2.0,5.0,9.0,40.0,25.0,4.0,10.0,11.0,2,0.4909090909090909,0.6909090909090909,1.1818181818181819
16,17,6.0,8.0,13.0,2.0,3.0,4.0,6.0,44.0,22.0,1.0,8.0,20.0,2,0.45454545454545453,0.6181818181818182,1.0727272727272728
17,18,3.0,4.0,18.0,2.0,1.0,5.0,6.0,36.0,16.0,3.0,6.0,29.0,3,0.9454545454545454,0.9636363636363636,1.9090909090909092
18,19,3.0,9.0,10.0,1.0,4.0,8.0,7.0,44.0,17.0,3.0,14.0,21.0,2,0.12727272727272726,0.6545454545454545,0.7818181818181817
