,time_period,x1200,x2302,x3200,x4200,x5302,x6302,x7200,x8200,x9302,x9b302,x9c200,x9d200,cluster,stability,diversity,measurement
0,1,2.0,8.0,15.0,6.0,2.0,4.0,22.0,32.0,10.0,6.0,18.0,4.0,1,0.05454545454545454,0.4727272727272727,0.5272727272727272
1,2,4.0,8.0,12.0,11.0,2.0,1.0,21.0,32.0,10.0,7.0,12.0,6.0,1,0.23636363636363636,0.4,0.6363636363636364
2,3,4.0,6.0,11.0,5.0,4.0,2.0,22.0,34.0,11.0,5.0,13.0,11.0,1,0.12727272727272726,0.2909090909090909,0.41818181818181815
3,4,3.0,8.0,19.0,3.0,6.0,0.0,12.0,33.0,9.0,6.0,9.0,13.0,1,0.36363636363636365,0.23636363636363636,0.6
4,5,5.0,9.0,11.0,5.0,1.0,5.0,20.0,29.0,7.0,3.0,22.0,8.0,1,0.16363636363636364,0.7090909090909091,0.8727272727272728
5,6,7.0,3.0,26.0,10.0,0.0,0.0,14.0,14.0,5.0,2.0,15.0,10.0,3,0.8545454545454545,1.0,1.8545454545454545
6,7,5.0,13.0,20.0,9.0,5.0,2.0,9.0,41.0,12.0,6.0,10.0,2.0,1,0.32727272727272727,0.05454545454545454,0.38181818181818183
7,8,1.0,10.0,23.0,8.0,1.0,3.0,14.0,32.0,7.0,8.0,17.0,4.0,1,0.34545454545454546,0.6181818181818182,0.9636363636363636
8,9,7.0,7.0,13.0,9.0,2.0,4.0,24.0,26.0,6.0,4.0,16.0,5.0,1,0.6363636363636364,0.8909090909090909,1.5272727272727273
9,10,3.0,12.0,11.0,3.0,3.0,3.0,20.0,38.0,9.0,7.0,15.0,9.0,1,0.21818181818181817,0.09090909090909091,0.3090909090909091
10,11,5.0,7.0,18.0,7.0,3.0,1.0,14.0,34.0,12.0,7.0,17.0,5.0,1,0.18181818181818182,0.14545454545454545,0.32727272727272727
11,12,3.0,9.0,12.0,9.0,1.0,3.0,19.0,34.0,6.0,9.0,11.0,4.0,1,0.6181818181818182,0.12727272727272726,0.7454545454545454
12,13,3.0,10.0,14.0,4.0,2.0,3.0,24.0,30.0,7.0,6.0,17.0,7.0,1,0.3090909090909091,0.7272727272727273,1.0363636363636364
13,14,8.0,11.0,14.0,9.0,2.0,2.0,12.0,33.0,5.0,6.0,16.0,8.0,1,0.5454545454545454,0.10909090909090909,0.6545454545454545
14,15,7.0,10.0,12.0,13.0,0.0,3.0,16.0,27.0,7.0,3.0,14.0,10.0,1,0.14545454545454545,0.6363636363636364,0.7818181818181817
15,16,2.0,7.0,22.0,11.0,1.0,2.0,13.0,29.0,13.0,6.0,17.0,6.0,1,0.8363636363636363,0.6909090909090909,1.5272727272727273
16,17,4.0,4.0,13.0,8.0,2.0,2.0,16.0,33.0,13.0,7.0,12.0,8.0,1,0.2,0.07272727272727272,0.2727272727272727
17,18,2.0,8.0,15.0,5.0,3.0,8.0,13.0,32.0,6.0,4.0,21.0,10.0,1,0.9090909090909091,0.38181818181818183,1.290909090909091
18,19,3.0,9.0,21.0,5.0,2.0,0.0,21.0,28.0,8.0,6.0,14.0,7.0,1,0.2727272727272727,0.8727272727272727,1.1454545454545455
19,20,4.0,8.0,10.0,5.0,1.0,2.0,21.0,30.0,5.0,8.0,25.0,5.0,1,0.4727272727272727,0.8,1.2727272727272727
20,21,1.0,13.0,20.0,6.0,2.0,0.0,20.0,30.0,6.0,7.0,14.0,8.0,1,0.2909090909090909,0.8181818181818182,1.1090909090909091
21,22,2.0,7.0,10.0,4.0,2.0,3.0,23.0,33.0,7.0,6.0,18.0,4.0,1,0.01818181818181818,0.43636363636363634,0.45454545454545453
22,23,3.0,10.0,18.0,10.0,3.0,3.0,15.0,31.0,7.0,6.0,15.0,6.0,1,0.09090909090909091,0.34545454545454546,0.4363636363636364
23,24,4.0,13.0,10.0,8.0,5.0,4.0,12.0,46.0,12.0,7.0,15.0,4.0,1,0.8,0.01818181818181818,0.8181818181818182
24,25,4.0,9.0,15.0,10.0,1.0,4.0,12.0,41.0,8.0,11.0,14.0,4.0,1,0.9636363636363636,0.03636363636363636,1.0
25,26,2.0,9.0,17.0,8.0,2.0,2.0,14.0,34.0,11.0,6.0,18.0,7.0,1,0.6,0.18181818181818182,0.7818181818181817
26,27,2.0,8.0,17.0,9.0,2.0,2.0,18.0,30.0,11.0,5.0,17.0,7.0,1,0.03636363636363636,0.5818181818181818,0.6181818181818182
27,28,3.0,3.0,5.0,4.0,0.0,1.0,5.0,12.0,4.0,4.0,6.0,6.0,1,0.10909090909090909,0.32727272727272727,0.43636363636363634
28,29,13.0,18.0,8.0,1.0,1.0,5.0,10.0,36.0,6.0,4.0,13.0,13.0,2,0.07272727272727272,0.2,0.2727272727272727
29,30,11.0,13.0,10.0,7.0,3.0,0.0,15.0,27.0,6.0,3.0,15.0,15.0,2,0.7636363636363637,0.7636363636363637,1.5272727272727273
30,31,14.0,10.0,8.0,3.0,4.0,7.0,14.0,30.0,3.0,4.0,11.0,16.0,2,0.2545454545454545,0.41818181818181815,0.6727272727272726
31,32,10.0,11.0,11.0,2.0,3.0,1.0,15.0,20.0,3.0,0.0,14.0,24.0,2,0.7818181818181819,0.9818181818181818,1.7636363636363637
32,33,15.0,9.0,12.0,4.0,2.0,1.0,25.0,22.0,3.0,7.0,8.0,13.0,2,0.6545454545454545,0.9636363636363636,1.6181818181818182
33,34,17.0,7.0,13.0,3.0,4.0,4.0,19.0,28.0,7.0,3.0,6.0,13.0,2,1.0,0.6727272727272727,1.6727272727272728
34,35,15.0,15.0,8.0,3.0,5.0,2.0,13.0,33.0,3.0,5.0,9.0,14.0,2,0.509090909090909,0.2727272727272727,0.7818181818181817
35,36,8.0,14.0,11.0,1.0,2.0,4.0,19.0,28.0,2.0,4.0,12.0,19.0,2,0.7272727272727273,0.8545454545454545,1.5818181818181818
36,37,14.0,14.0,13.0,3.0,2.0,3.0,18.0,30.0,4.0,7.0,5.0,16.0,2,0.45454545454545453,0.6545454545454545,1.1090909090909091
37,38,10.0,14.0,8.0,5.0,4.0,3.0,15.0,31.0,2.0,4.0,11.0,19.0,2,0.4,0.6,1.0
38,39,16.0,20.0,2.0,2.0,4.0,0.0,18.0,38.0,4.0,7.0,5.0,14.0,2,0.9454545454545454,0.4909090909090909,1.4363636363636363
39,40,17.0,14.0,14.0,1.0,2.0,5.0,14.0,32.0,5.0,2.0,10.0,10.0,2,0.5818181818181818,0.509090909090909,1.0909090909090908
40,41,20.0,9.0,14.0,2.0,2.0,4.0,15.0,23.0,6.0,1.0,5.0,19.0,2,0.7090909090909091,0.9272727272727272,1.6363636363636362
41,42,11.0,14.0,10.0,4.0,2.0,4.0,18.0,32.0,2.0,8.0,8.0,17.0,2,0.41818181818181815,0.45454545454545453,0.8727272727272727
42,43,13.0,10.0,4.0,8.0,2.0,5.0,18.0,22.0,3.0,2.0,15.0,19.0,2,0.9818181818181818,0.9454545454545454,1.9272727272727272
43,44,11.0,7.0,10.0,4.0,1.0,2.0,13.0,28.0,7.0,7.0,13.0,19.0,2,0.4909090909090909,0.5272727272727272,1.018181818181818
44,45,11.0,12.0,7.0,3.0,3.0,2.0,18.0,28.0,3.0,4.0,6.0,21.0,2,0.9272727272727272,0.8363636363636363,1.7636363636363637
45,46,12.0,16.0,8.0,5.0,2.0,3.0,19.0,36.0,7.0,6.0,5.0,14.0,2,0.5272727272727272,0.16363636363636364,0.6909090909090909
46,47,16.0,22.0,9.0,6.0,1.0,3.0,11.0,37.0,3.0,6.0,4.0,17.0,2,0.6727272727272727,0.36363636363636365,1.0363636363636364
47,48,13.0,20.0,13.0,0.0,2.0,2.0,13.0,39.0,4.0,9.0,9.0,7.0,2,0.38181818181818183,0.21818181818181817,0.6
48,49,11.0,12.0,14.0,6.0,3.0,1.0,17.0,27.0,5.0,3.0,11.0,14.0,2,0.6909090909090909,0.7454545454545455,1.4363636363636365
