,time_period,x1200,x2302,x3200,x4200,x5302,x6302,x7200,x8200,x9302,x9b302,x9c200,x9d200,cluster,stability,diversity,measurement
0,1,1.0,12.0,6.0,14.0,4.0,8.0,3.0,49.0,16.0,5.0,12.0,15.0,1,0.34545454545454546,0.12727272727272726,0.4727272727272727
1,2,4.0,5.0,10.0,8.0,6.0,8.0,4.0,45.0,16.0,7.0,3.0,17.0,1,0.2727272727272727,0.03636363636363636,0.3090909090909091
2,3,3.0,8.0,10.0,12.0,3.0,11.0,5.0,46.0,14.0,6.0,6.0,17.0,1,0.16363636363636364,0.07272727272727272,0.23636363636363636
3,4,2.0,6.0,6.0,16.0,7.0,12.0,2.0,52.0,13.0,7.0,8.0,14.0,1,0.8909090909090909,0.14545454545454545,1.0363636363636364
4,5,3.0,9.0,7.0,10.0,4.0,11.0,9.0,42.0,6.0,7.0,6.0,22.0,1,0.09090909090909091,0.3090909090909091,0.4
5,6,3.0,8.0,3.0,13.0,9.0,17.0,3.0,52.0,10.0,3.0,4.0,13.0,1,0.43636363636363634,0.10909090909090909,0.5454545454545454
6,7,1.0,8.0,8.0,15.0,8.0,15.0,4.0,50.0,8.0,6.0,8.0,14.0,1,0.9272727272727272,0.2,1.1272727272727272
7,8,4.0,9.0,12.0,9.0,3.0,5.0,7.0,36.0,12.0,6.0,3.0,19.0,1,0.4,0.32727272727272727,0.7272727272727273
8,9,2.0,7.0,12.0,13.0,7.0,13.0,1.0,48.0,13.0,6.0,7.0,17.0,1,0.7818181818181819,0.2545454545454545,1.0363636363636364
9,10,3.0,9.0,8.0,9.0,6.0,6.0,4.0,44.0,17.0,3.0,6.0,26.0,1,0.12727272727272726,0.38181818181818183,0.509090909090909
10,11,3.0,9.0,7.0,11.0,8.0,12.0,3.0,51.0,12.0,5.0,8.0,17.0,1,0.18181818181818182,0.01818181818181818,0.2
11,12,3.0,10.0,13.0,8.0,8.0,8.0,4.0,44.0,9.0,5.0,7.0,16.0,1,0.38181818181818183,0.05454545454545454,0.4363636363636364
12,13,2.0,6.0,10.0,22.0,4.0,8.0,2.0,37.0,10.0,5.0,6.0,16.0,1,0.21818181818181817,0.6909090909090909,0.9090909090909091
13,14,2.0,5.0,5.0,21.0,3.0,14.0,5.0,44.0,11.0,5.0,4.0,19.0,1,0.9636363636363636,0.509090909090909,1.4727272727272727
14,15,1.0,9.0,8.0,8.0,6.0,11.0,10.0,44.0,8.0,5.0,8.0,21.0,1,0.509090909090909,0.2727272727272727,0.7818181818181817
15,16,3.0,4.0,6.0,16.0,4.0,7.0,3.0,30.0,8.0,3.0,11.0,21.0,1,0.41818181818181815,0.7454545454545455,1.1636363636363636
16,17,6.0,8.0,3.0,16.0,3.0,12.0,3.0,46.0,9.0,7.0,7.0,19.0,1,0.45454545454545453,0.23636363636363636,0.6909090909090909
17,18,1.0,13.0,8.0,12.0,3.0,10.0,1.0,52.0,12.0,7.0,5.0,21.0,1,0.4727272727272727,0.18181818181818182,0.6545454545454545
18,19,4.0,7.0,9.0,9.0,7.0,6.0,8.0,33.0,6.0,4.0,7.0,20.0,1,0.9090909090909091,0.4727272727272727,1.3818181818181818
19,20,1.0,9.0,7.0,21.0,1.0,8.0,4.0,43.0,10.0,7.0,5.0,19.0,1,1.0,0.5454545454545454,1.5454545454545454
20,21,1.0,8.0,6.0,18.0,12.0,8.0,5.0,42.0,7.0,3.0,4.0,24.0,1,0.7636363636363637,0.6363636363636364,1.4
21,22,3.0,3.0,15.0,15.0,5.0,10.0,4.0,40.0,11.0,8.0,7.0,16.0,1,0.6363636363636364,0.4,1.0363636363636364
22,23,1.0,8.0,11.0,15.0,2.0,10.0,2.0,39.0,10.0,4.0,6.0,26.0,1,0.7454545454545455,0.6727272727272727,1.4181818181818182
23,24,3.0,10.0,11.0,9.0,4.0,7.0,5.0,37.0,8.0,3.0,6.0,19.0,1,0.5454545454545454,0.2909090909090909,0.8363636363636363
24,25,0.0,8.0,12.0,12.0,5.0,12.0,6.0,45.0,9.0,3.0,6.0,19.0,1,0.03636363636363636,0.21818181818181817,0.2545454545454545
25,26,3.0,11.0,8.0,21.0,3.0,11.0,5.0,43.0,13.0,3.0,3.0,17.0,1,0.10909090909090909,0.41818181818181815,0.5272727272727272
26,27,4.0,13.0,10.0,15.0,5.0,6.0,4.0,47.0,10.0,8.0,7.0,13.0,1,0.01818181818181818,0.09090909090909091,0.1090909090909091
27,28,3.0,2.0,0.0,8.0,0.0,3.0,5.0,12.0,6.0,0.0,6.0,4.0,2,0.14545454545454545,0.8,0.9454545454545455
28,29,13.0,1.0,2.0,13.0,2.0,15.0,19.0,31.0,10.0,2.0,9.0,10.0,2,0.05454545454545454,0.8545454545454545,0.9090909090909091
29,30,19.0,3.0,2.0,8.0,6.0,14.0,11.0,30.0,5.0,2.0,14.0,7.0,3,0.5818181818181818,0.7818181818181819,1.3636363636363638
30,31,14.0,0.0,3.0,8.0,1.0,13.0,21.0,27.0,7.0,4.0,16.0,10.0,3,0.23636363636363636,0.9636363636363636,1.2
31,32,24.0,5.0,0.0,3.0,2.0,12.0,21.0,30.0,11.0,0.0,16.0,6.0,3,0.9818181818181818,0.9818181818181818,1.9636363636363636
32,33,18.0,3.0,4.0,7.0,2.0,14.0,16.0,32.0,11.0,1.0,13.0,5.0,3,0.07272727272727272,0.7636363636363637,0.8363636363636364
33,34,6.0,3.0,2.0,3.0,1.0,13.0,33.0,34.0,12.0,1.0,8.0,10.0,3,0.6,1.0,1.6
34,35,12.0,3.0,8.0,9.0,1.0,10.0,22.0,27.0,11.0,1.0,16.0,5.0,3,0.4909090909090909,0.9272727272727272,1.4181818181818182
35,36,12.0,3.0,3.0,13.0,2.0,20.0,14.0,40.0,11.0,2.0,12.0,5.0,2,0.6909090909090909,0.5272727272727272,1.2181818181818183
36,37,8.0,5.0,4.0,11.0,2.0,12.0,18.0,34.0,12.0,3.0,8.0,15.0,2,0.9454545454545454,0.6545454545454545,1.6
37,38,14.0,3.0,7.0,8.0,5.0,17.0,15.0,33.0,7.0,0.0,10.0,9.0,2,0.2909090909090909,0.7272727272727273,1.018181818181818
38,39,9.0,6.0,4.0,5.0,2.0,8.0,17.0,41.0,17.0,5.0,12.0,9.0,2,0.6545454545454545,0.34545454545454546,1.0
39,40,10.0,7.0,6.0,8.0,3.0,17.0,16.0,42.0,13.0,2.0,14.0,4.0,2,0.8363636363636363,0.36363636363636365,1.2
40,41,7.0,2.0,4.0,15.0,3.0,12.0,25.0,31.0,7.0,3.0,12.0,6.0,3,0.32727272727272727,0.8727272727272727,1.2
41,42,7.0,1.0,4.0,6.0,2.0,8.0,22.0,26.0,12.0,1.0,17.0,8.0,3,0.6181818181818182,0.9454545454545454,1.5636363636363635
42,43,11.0,3.0,4.0,9.0,3.0,11.0,18.0,30.0,9.0,2.0,22.0,6.0,3,0.5636363636363636,0.8181818181818182,1.3818181818181818
43,44,15.0,3.0,6.0,12.0,2.0,8.0,13.0,29.0,11.0,3.0,15.0,10.0,2,0.8,0.5818181818181818,1.3818181818181818
44,45,10.0,3.0,6.0,10.0,3.0,12.0,16.0,37.0,15.0,4.0,17.0,4.0,2,0.8181818181818182,0.43636363636363634,1.2545454545454546
45,46,8.0,4.0,4.0,11.0,1.0,14.0,15.0,35.0,11.0,2.0,12.0,7.0,2,0.3090909090909091,0.45454545454545453,0.7636363636363637
46,47,14.0,2.0,2.0,7.0,2.0,21.0,11.0,40.0,9.0,2.0,12.0,12.0,2,0.2,0.6181818181818182,0.8181818181818181
47,48,4.0,2.0,4.0,10.0,7.0,10.0,14.0,33.0,9.0,4.0,20.0,15.0,2,0.6727272727272727,0.7090909090909091,1.3818181818181818
48,49,11.0,6.0,7.0,2.0,2.0,11.0,20.0,30.0,8.0,1.0,21.0,9.0,3,0.8727272727272727,0.8909090909090909,1.7636363636363637
49,50,10.0,1.0,9.0,13.0,6.0,12.0,5.0,37.0,16.0,2.0,12.0,10.0,1,0.7272727272727273,0.16363636363636364,0.8909090909090909
50,51,11.0,1.0,3.0,8.0,3.0,12.0,23.0,29.0,9.0,3.0,14.0,8.0,3,0.8545454545454545,0.9090909090909091,1.7636363636363637
51,52,11.0,2.0,2.0,8.0,3.0,15.0,16.0,37.0,11.0,5.0,11.0,14.0,2,0.36363636363636365,0.6,0.9636363636363636
52,53,9.0,4.0,6.0,10.0,0.0,17.0,20.0,32.0,6.0,1.0,9.0,13.0,2,0.2545454545454545,0.8363636363636363,1.0909090909090908
53,54,9.0,2.0,3.0,9.0,5.0,9.0,19.0,36.0,14.0,5.0,10.0,8.0,2,0.5272727272727272,0.5636363636363636,1.0909090909090908
54,55,14.0,3.0,4.0,12.0,5.0,16.0,16.0,39.0,13.0,2.0,9.0,5.0,2,0.7090909090909091,0.4909090909090909,1.2
