,time_period,x1200,x2302,x3200,x4200,x5302,x6302,x7200,x8200,x9302,x9b302,x9c200,x9d200,cluster,stability,diversity,measurement
0,1,4.0,3.0,4.0,9.0,2.0,12.0,12.0,42.0,13.0,7.0,1.0,24.0,1,0.5272727272727272,0.6545454545454545,1.1818181818181817
1,2,5.0,6.0,4.0,6.0,5.0,17.0,7.0,53.0,17.0,3.0,2.0,23.0,1,0.12727272727272726,0.36363636363636365,0.4909090909090909
2,3,7.0,3.0,8.0,14.0,6.0,18.0,4.0,43.0,9.0,6.0,1.0,13.0,1,0.14545454545454545,0.2727272727272727,0.41818181818181815
3,4,5.0,7.0,3.0,10.0,7.0,18.0,9.0,54.0,13.0,4.0,3.0,16.0,1,0.9454545454545454,0.09090909090909091,1.0363636363636364
4,5,6.0,4.0,6.0,12.0,5.0,15.0,4.0,43.0,10.0,6.0,5.0,24.0,1,0.8,0.4727272727272727,1.2727272727272727
5,6,1.0,4.0,4.0,8.0,5.0,14.0,7.0,52.0,16.0,8.0,0.0,18.0,1,1.0,0.16363636363636364,1.1636363636363636
6,7,6.0,4.0,4.0,8.0,7.0,14.0,7.0,44.0,10.0,6.0,6.0,25.0,1,0.5636363636363636,0.5454545454545454,1.109090909090909
7,8,7.0,1.0,7.0,8.0,12.0,15.0,5.0,51.0,13.0,4.0,4.0,16.0,1,0.4727272727272727,0.07272727272727272,0.5454545454545454
8,9,7.0,5.0,2.0,10.0,7.0,15.0,3.0,48.0,5.0,12.0,2.0,21.0,1,0.509090909090909,0.38181818181818183,0.8909090909090909
9,10,6.0,6.0,5.0,8.0,5.0,20.0,9.0,49.0,8.0,3.0,4.0,19.0,1,0.8909090909090909,0.32727272727272727,1.2181818181818183
10,11,4.0,5.0,6.0,8.0,6.0,18.0,5.0,52.0,16.0,6.0,1.0,23.0,1,0.10909090909090909,0.2909090909090909,0.39999999999999997
11,12,4.0,4.0,2.0,8.0,3.0,25.0,2.0,56.0,12.0,7.0,1.0,20.0,1,0.7818181818181819,0.45454545454545453,1.2363636363636363
12,13,8.0,5.0,9.0,4.0,6.0,9.0,7.0,40.0,11.0,6.0,7.0,23.0,1,0.38181818181818183,0.4909090909090909,0.8727272727272728
13,14,6.0,3.0,11.0,6.0,7.0,17.0,0.0,57.0,18.0,9.0,1.0,19.0,1,0.9090909090909091,0.14545454545454545,1.0545454545454545
14,15,6.0,3.0,6.0,13.0,6.0,20.0,1.0,61.0,10.0,15.0,2.0,11.0,1,0.9818181818181818,0.2,1.1818181818181819
15,16,8.0,4.0,3.0,8.0,6.0,11.0,4.0,41.0,10.0,4.0,2.0,26.0,1,0.09090909090909091,0.6727272727272727,0.7636363636363637
16,17,7.0,5.0,5.0,8.0,12.0,15.0,7.0,51.0,12.0,5.0,3.0,17.0,1,0.32727272727272727,0.12727272727272726,0.45454545454545453
17,18,4.0,4.0,5.0,6.0,4.0,16.0,12.0,50.0,10.0,7.0,5.0,18.0,1,0.16363636363636364,0.21818181818181817,0.38181818181818183
18,19,5.0,7.0,9.0,12.0,5.0,18.0,6.0,54.0,10.0,10.0,1.0,13.0,1,0.9272727272727272,0.03636363636363636,0.9636363636363636
