,time_period,x1200,x2302,x3200,x4200,x5302,x6302,x7200,x8200,x9302,x9b302,x9c200,x9d200,cluster,stability,diversity,measurement
0,1,5.0,6.0,5.0,3.0,10.0,12.0,15.0,52.0,6.0,10.0,6.0,9.0,2,0.21818181818181817,0.2,0.4181818181818182
1,2,4.0,8.0,3.0,10.0,3.0,7.0,19.0,52.0,8.0,23.0,5.0,7.0,2,0.16363636363636364,0.34545454545454546,0.509090909090909
2,3,7.0,5.0,5.0,7.0,10.0,13.0,16.0,55.0,7.0,13.0,4.0,6.0,2,0.7090909090909091,0.07272727272727272,0.7818181818181819
3,4,3.0,7.0,6.0,9.0,4.0,4.0,24.0,37.0,6.0,13.0,5.0,9.0,2,0.7818181818181819,0.5454545454545454,1.3272727272727272
4,5,4.0,6.0,5.0,8.0,2.0,18.0,15.0,54.0,6.0,15.0,5.0,6.0,2,0.6363636363636364,0.16363636363636364,0.8
5,6,8.0,8.0,11.0,8.0,7.0,4.0,9.0,51.0,4.0,17.0,2.0,11.0,2,0.07272727272727272,0.05454545454545454,0.12727272727272726
6,7,9.0,5.0,5.0,2.0,3.0,8.0,21.0,41.0,5.0,17.0,5.0,8.0,2,0.2545454545454545,0.45454545454545453,0.709090909090909
7,8,7.0,5.0,3.0,9.0,4.0,6.0,18.0,45.0,3.0,19.0,5.0,12.0,2,0.2,0.43636363636363634,0.6363636363636364
8,9,8.0,5.0,7.0,6.0,3.0,10.0,18.0,45.0,2.0,18.0,9.0,7.0,2,0.3090909090909091,0.4,0.7090909090909091
9,10,6.0,3.0,5.0,2.0,4.0,4.0,29.0,42.0,13.0,14.0,7.0,9.0,2,0.8,0.6545454545454545,1.4545454545454546
10,11,6.0,3.0,11.0,8.0,6.0,7.0,18.0,31.0,2.0,9.0,6.0,11.0,3,0.2909090909090909,0.509090909090909,0.7999999999999999
11,12,7.0,6.0,7.0,10.0,3.0,8.0,20.0,46.0,9.0,16.0,2.0,8.0,2,0.509090909090909,0.21818181818181817,0.7272727272727272
12,13,8.0,11.0,7.0,5.0,6.0,9.0,10.0,55.0,6.0,17.0,2.0,9.0,2,0.45454545454545453,0.10909090909090909,0.5636363636363636
13,14,10.0,7.0,8.0,3.0,6.0,13.0,13.0,47.0,6.0,8.0,4.0,9.0,2,0.12727272727272726,0.18181818181818182,0.3090909090909091
14,15,4.0,7.0,6.0,7.0,4.0,9.0,21.0,51.0,7.0,21.0,4.0,7.0,2,0.03636363636363636,0.3090909090909091,0.34545454545454546
15,16,9.0,3.0,7.0,13.0,2.0,7.0,15.0,41.0,8.0,17.0,5.0,10.0,2,0.8363636363636363,0.36363636363636365,1.2
16,17,6.0,8.0,7.0,5.0,4.0,7.0,19.0,44.0,8.0,12.0,3.0,11.0,2,0.05454545454545454,0.23636363636363636,0.2909090909090909
17,18,6.0,6.0,7.0,3.0,9.0,9.0,16.0,47.0,4.0,11.0,6.0,14.0,2,0.9818181818181818,0.2909090909090909,1.2727272727272727
18,19,7.0,8.0,7.0,8.0,4.0,12.0,9.0,58.0,8.0,21.0,0.0,9.0,2,0.9090909090909091,0.09090909090909091,1.0
19,20,3.0,6.0,5.0,6.0,5.0,8.0,23.0,54.0,5.0,19.0,2.0,5.0,2,0.23636363636363636,0.2727272727272727,0.509090909090909
20,21,8.0,8.0,5.0,6.0,5.0,8.0,11.0,53.0,10.0,16.0,7.0,10.0,2,0.43636363636363634,0.01818181818181818,0.45454545454545453
21,22,8.0,6.0,7.0,6.0,5.0,11.0,11.0,48.0,5.0,14.0,6.0,10.0,2,0.2727272727272727,0.03636363636363636,0.3090909090909091
22,23,8.0,5.0,3.0,6.0,4.0,11.0,14.0,54.0,6.0,24.0,6.0,7.0,2,0.38181818181818183,0.38181818181818183,0.7636363636363637
23,24,6.0,2.0,5.0,6.0,4.0,8.0,15.0,47.0,8.0,14.0,5.0,12.0,2,0.34545454545454546,0.12727272727272726,0.4727272727272727
