,time_period,x1200,x2302,x3200,x4200,x5302,x6302,x7200,x8200,x9302,x9b302,x9c200,x9d200,cluster,stability,diversity,measurement
0,1,19.0,5.0,8.0,7.0,6.0,4.0,12.0,38.0,9.0,5.0,4.0,9.0,1,0.09090909090909091,0.2727272727272727,0.36363636363636365
1,2,23.0,3.0,9.0,2.0,3.0,11.0,12.0,38.0,8.0,4.0,4.0,8.0,1,0.4909090909090909,0.9454545454545454,1.4363636363636363
2,3,20.0,5.0,6.0,7.0,2.0,7.0,14.0,40.0,10.0,8.0,4.0,5.0,1,0.8545454545454545,0.4909090909090909,1.3454545454545455
3,4,18.0,3.0,15.0,8.0,8.0,9.0,10.0,41.0,2.0,9.0,1.0,7.0,1,0.7272727272727273,0.7454545454545455,1.4727272727272727
4,5,22.0,2.0,13.0,8.0,5.0,6.0,7.0,36.0,6.0,8.0,2.0,2.0,1,0.5272727272727272,0.8909090909090909,1.418181818181818
5,6,25.0,3.0,7.0,9.0,2.0,15.0,10.0,37.0,9.0,5.0,3.0,9.0,1,0.2545454545454545,0.9818181818181818,1.2363636363636363
6,7,14.0,5.0,9.0,10.0,9.0,8.0,15.0,38.0,10.0,2.0,5.0,8.0,1,0.38181818181818183,0.2545454545454545,0.6363636363636364
7,8,18.0,4.0,9.0,8.0,9.0,9.0,9.0,42.0,10.0,3.0,2.0,3.0,1,0.4,0.21818181818181817,0.6181818181818182
8,9,21.0,6.0,5.0,10.0,4.0,15.0,10.0,39.0,4.0,5.0,6.0,9.0,1,0.9636363636363636,0.8363636363636363,1.7999999999999998
9,10,21.0,2.0,5.0,6.0,6.0,7.0,11.0,40.0,8.0,6.0,1.0,6.0,1,1.0,0.5818181818181818,1.5818181818181818
10,11,20.0,2.0,9.0,8.0,8.0,12.0,12.0,37.0,7.0,2.0,2.0,12.0,1,0.6909090909090909,0.8727272727272727,1.5636363636363635
11,12,18.0,2.0,15.0,9.0,2.0,9.0,6.0,42.0,9.0,11.0,4.0,6.0,1,0.5818181818181818,0.509090909090909,1.0909090909090908
12,13,12.0,4.0,9.0,12.0,10.0,9.0,7.0,39.0,1.0,10.0,8.0,6.0,2,0.14545454545454545,0.2909090909090909,0.43636363636363634
13,14,22.0,2.0,6.0,5.0,5.0,10.0,10.0,41.0,10.0,4.0,3.0,10.0,1,0.05454545454545454,0.7090909090909091,0.7636363636363637
14,15,19.0,2.0,10.0,10.0,9.0,11.0,9.0,46.0,8.0,9.0,4.0,2.0,1,0.8181818181818182,0.2,1.0181818181818183
15,16,21.0,4.0,5.0,11.0,9.0,13.0,7.0,42.0,4.0,7.0,4.0,6.0,1,0.7454545454545455,0.6,1.3454545454545455
16,17,21.0,4.0,11.0,11.0,8.0,6.0,10.0,36.0,8.0,6.0,2.0,6.0,1,0.6181818181818182,0.7272727272727273,1.3454545454545455
17,18,22.0,4.0,9.0,6.0,6.0,4.0,10.0,37.0,12.0,3.0,6.0,7.0,1,0.2727272727272727,0.6909090909090909,0.9636363636363636
18,19,15.0,3.0,8.0,11.0,5.0,8.0,9.0,35.0,11.0,3.0,1.0,14.0,1,0.45454545454545453,0.6363636363636364,1.0909090909090908
19,20,20.0,5.0,7.0,8.0,3.0,11.0,11.0,39.0,12.0,2.0,6.0,9.0,1,0.41818181818181815,0.6545454545454545,1.0727272727272728
20,21,22.0,4.0,7.0,5.0,16.0,4.0,9.0,40.0,6.0,3.0,2.0,9.0,1,0.5636363636363636,0.9090909090909091,1.4727272727272727
21,22,26.0,4.0,8.0,7.0,6.0,7.0,6.0,35.0,7.0,5.0,1.0,14.0,1,0.18181818181818182,1.0,1.1818181818181819
22,23,18.0,4.0,8.0,10.0,7.0,10.0,15.0,39.0,11.0,4.0,5.0,4.0,1,0.8363636363636363,0.5454545454545454,1.3818181818181818
23,24,23.0,2.0,4.0,12.0,4.0,8.0,12.0,39.0,9.0,7.0,2.0,6.0,1,0.07272727272727272,0.8181818181818182,0.890909090909091
24,25,18.0,1.0,11.0,6.0,7.0,10.0,9.0,41.0,12.0,2.0,4.0,4.0,1,0.9454545454545454,0.41818181818181815,1.3636363636363635
