,time_period,cpu,rss,memory
0,1,20.23,1385476.0,17.05
1,2,18.41,1416932.0,17.44
2,3,16.64,1476564.0,18.17
3,4,11.9,1480292.0,18.22
4,5,11.78,1487600.0,18.31
5,6,11.24,1488156.0,18.31
6,7,9.5,1490880.0,18.35
7,8,9.01,1494216.0,18.39
8,9,10.65,1491204.0,18.35
9,10,8.94,1498292.0,18.44
10,11,10.69,1505052.0,18.52
11,12,8.77,1504592.0,18.52
12,13,7.44,1507460.0,18.55
13,14,6.63,1506252.0,18.54
14,15,7.55,1501904.0,18.48
15,16,8.52,1502104.0,18.49
16,17,6.57,1499880.0,18.46
17,18,7.02,1502388.0,18.49
18,19,8.12,1496604.0,18.42
19,20,8.47,1501280.0,18.48
20,21,7.51,1502836.0,18.49
21,22,8.04,1504412.0,18.51
22,23,5.69,1503256.0,18.5
23,24,6.29,1502724.0,18.49
24,25,6.62,1503684.0,18.5
25,26,5.94,1504592.0,18.52
26,27,5.87,1505180.0,18.52
27,28,5.99,1504928.0,18.52
28,29,3.63,1506412.0,18.54
29,30,5.7,1508068.0,18.56
30,31,4.97,1506744.0,18.54
31,32,5.59,1507416.0,18.55
32,33,5.86,1511136.0,18.6
33,34,5.89,1508324.0,18.56
34,35,5.32,1504748.0,18.52
35,36,5.44,1506240.0,18.54
36,37,6.05,1505684.0,18.53
37,38,6.36,1507416.0,18.55
38,39,5.68,1509772.0,18.58
39,40,5.45,1508176.0,18.56
40,41,6.79,1509140.0,18.57
41,42,5.27,1511528.0,18.6
42,43,5.02,1512788.0,18.62
43,44,5.81,1513392.0,18.62
44,45,4.96,1512380.0,18.61
45,46,7.7,1518568.0,18.69
46,47,5.5,1516196.0,18.66
47,48,5.16,1517120.0,18.67
48,49,5.42,1519360.0,18.7
49,50,5.66,1519800.0,18.7
50,51,5.56,1521724.0,18.73
51,52,7.09,1522528.0,18.74
52,53,4.84,1518956.0,18.69
53,54,4.91,1518680.0,18.69
54,55,4.99,1521084.0,18.72
55,56,5.42,1518340.0,18.69
56,57,5.06,1520960.0,18.72
57,58,6.31,1517424.0,18.67
