,time_period,cpu,rss,memory
0,1,25.83,1012072.0,12.45
1,2,16.46,1040540.0,12.81
2,3,16.11,1054276.0,12.97
3,4,10.45,1057740.0,13.02
4,5,11.82,1058600.0,13.03
5,6,9.99,1062320.0,13.07
6,7,8.1,1064496.0,13.1
7,8,10.61,1073408.0,13.21
8,9,9.12,1064388.0,13.1
9,10,10.27,1064068.0,13.09
10,11,8.41,1064248.0,13.1
11,12,8.32,1062248.0,13.07
12,13,7.66,1062804.0,13.08
13,14,6.42,1063036.0,13.08
14,15,5.61,1060260.0,13.05
15,16,6.56,1062176.0,13.07
16,17,8.37,1063892.0,13.09
17,18,8.67,1064196.0,13.1
18,19,7.84,1065440.0,13.11
19,20,8.98,1066832.0,13.13
20,21,6.44,1066408.0,13.12
21,22,5.34,1064348.0,13.1
22,23,7.08,1070876.0,13.18
23,24,4.9,1072860.0,13.2
24,25,5.07,1070664.0,13.18
25,26,5.79,1077048.0,13.25
26,27,5.41,1077432.0,13.26
27,28,5.94,1080420.0,13.3
28,29,3.96,1081480.0,13.31
29,30,5.02,1086636.0,13.37
30,31,4.76,1087056.0,13.38
31,32,8.39,1084512.0,13.35
32,33,4.94,1086384.0,13.37
33,34,5.39,1086100.0,13.37
34,35,5.61,1087764.0,13.39
35,36,5.67,1086480.0,13.37
36,37,5.49,1088800.0,13.4
37,38,5.73,1087868.0,13.39
38,39,6.27,1088280.0,13.39
39,40,4.66,1092880.0,13.45
40,41,9.02,1095156.0,13.48
41,42,5.33,1089724.0,13.41
42,43,4.75,1090788.0,13.42
43,44,6.39,1091448.0,13.43
44,45,4.96,1092396.0,13.44
45,46,5.8,1091960.0,13.44
46,47,4.76,1095148.0,13.48
47,48,4.91,1093476.0,13.46
48,49,5.17,1094744.0,13.47
49,50,6.01,1096320.0,13.49
50,51,4.85,1098732.0,13.52
51,52,6.09,1097068.0,13.5
52,53,5.32,1097448.0,13.51
53,54,8.84,1098364.0,13.52
54,55,5.01,1101592.0,13.56
55,56,4.56,1098972.0,13.52
56,57,5.79,1100512.0,13.54
57,58,6.06,1101580.0,13.56
