,time_period,cpu,rss,memory
0,1,18.79,1311316.0,16.14
1,2,17.02,1336480.0,16.45
2,3,13.97,1344392.0,16.54
3,4,13.57,1353164.0,16.65
4,5,12.81,1355936.0,16.69
5,6,10.78,1357292.0,16.7
6,7,12.21,1358556.0,16.72
7,8,11.24,1359976.0,16.74
8,9,9.3,1361644.0,16.76
9,10,9.72,1362320.0,16.77
10,11,9.98,1365500.0,16.8
11,12,8.55,1364772.0,16.8
12,13,7.59,1364272.0,16.79
13,14,7.98,1362180.0,16.76
14,15,9.97,1365428.0,16.8
15,16,9.75,1363320.0,16.78
16,17,7.66,1362288.0,16.76
17,18,6.61,1361544.0,16.76
18,19,8.97,1358560.0,16.72
19,20,8.62,1362500.0,16.77
20,21,5.29,1361036.0,16.75
21,22,6.34,1361832.0,16.76
22,23,7.83,1365536.0,16.8
23,24,6.37,1361388.0,16.75
24,25,6.35,1362896.0,16.77
25,26,4.72,1360424.0,16.74
26,27,5.49,1363088.0,16.77
27,28,9.11,1364168.0,16.79
28,29,4.31,1365360.0,16.8
29,30,6.72,1369640.0,16.86
30,31,5.69,1368612.0,16.84
31,32,5.39,1368932.0,16.85
32,33,6.05,1373736.0,16.91
33,34,5.51,1372580.0,16.89
34,35,5.21,1372700.0,16.89
35,36,5.91,1380624.0,16.99
36,37,6.15,1378672.0,16.97
37,38,6.81,1382828.0,17.02
38,39,6.51,1382592.0,17.01
39,40,4.72,1386216.0,17.06
40,41,6.57,1384316.0,17.04
41,42,5.36,1384052.0,17.03
42,43,6.11,1387792.0,17.08
43,44,7.74,1391804.0,17.13
44,45,6.35,1388592.0,17.09
45,46,5.74,1390716.0,17.11
46,47,5.29,1392676.0,17.14
47,48,5.78,1391988.0,17.13
48,49,6.13,1393728.0,17.15
49,50,6.05,1394796.0,17.16
50,51,6.55,1393028.0,17.14
51,52,5.56,1393136.0,17.14
52,53,6.49,1393368.0,17.15
53,54,7.12,1393012.0,17.14
54,55,6.64,1393880.0,17.15
55,56,5.49,1396428.0,17.18
56,57,6.59,1395472.0,17.17
57,58,5.01,1397168.0,17.19
