,time_period,cpu,rss,memory
0,1,16.98,1031976.0,12.7
1,2,13.91,1037600.0,12.77
2,3,11.65,1044184.0,12.85
3,4,12.8,1048752.0,12.91
4,5,12.52,1049160.0,12.91
5,6,9.98,1053832.0,12.97
6,7,9.62,1055228.0,12.99
7,8,9.19,1055204.0,12.99
8,9,9.48,1054212.0,12.97
9,10,7.41,1057872.0,13.02
10,11,9.17,1055112.0,12.98
11,12,7.18,1058028.0,13.02
12,13,9.68,1055516.0,12.99
13,14,7.73,1052584.0,12.95
14,15,6.86,1050660.0,12.93
15,16,7.33,1050640.0,12.93
16,17,5.46,1050548.0,12.93
17,18,9.13,1050776.0,12.93
18,19,5.44,1050700.0,12.93
19,20,6.06,1051052.0,12.93
20,21,8.35,1052316.0,12.95
21,22,6.27,1054464.0,12.98
22,23,5.52,1056336.0,13.0
23,24,5.46,1055404.0,12.99
24,25,7.99,1056920.0,13.01
25,26,5.83,1058052.0,13.02
26,27,5.98,1061680.0,13.07
27,28,5.09,1066812.0,13.13
28,29,4.05,1066208.0,13.12
29,30,6.86,1078324.0,13.27
30,31,6.09,1083004.0,13.33
31,32,9.2,1082732.0,13.32
32,33,5.83,1085868.0,13.36
33,34,6.69,1086512.0,13.37
34,35,6.21,1085560.0,13.36
35,36,6.58,1086768.0,13.37
36,37,6.75,1086080.0,13.37
37,38,6.33,1084608.0,13.35
38,39,5.32,1082628.0,13.32
39,40,5.07,1083248.0,13.33
40,41,7.45,1083104.0,13.33
41,42,6.39,1087560.0,13.38
42,43,6.4,1085936.0,13.36
43,44,7.34,1092716.0,13.45
44,45,5.19,1099808.0,13.53
45,46,7.9,1100064.0,13.54
46,47,6.74,1099616.0,13.53
47,48,6.4,1102372.0,13.57
48,49,6.24,1102124.0,13.56
49,50,5.68,1102148.0,13.56
50,51,4.68,1102952.0,13.57
51,52,6.51,1103940.0,13.59
52,53,5.93,1103036.0,13.57
53,54,6.38,1104536.0,13.59
54,55,7.62,1105156.0,13.6
55,56,8.42,1106440.0,13.62
56,57,5.72,1106796.0,13.62
57,58,6.83,1110192.0,13.66
