,time_period,cpu,rss,memory
0,1,17.32,1268864.0,15.61
1,2,18.42,1318480.0,16.23
2,3,17.54,1326892.0,16.33
3,4,11.0,1327216.0,16.33
4,5,11.66,1329760.0,16.36
5,6,13.04,1337788.0,16.46
6,7,11.09,1336600.0,16.45
7,8,10.92,1337044.0,16.45
8,9,12.85,1340104.0,16.49
9,10,12.74,1341352.0,16.51
10,11,9.76,1341832.0,16.51
11,12,9.34,1343564.0,16.53
12,13,8.36,1344792.0,16.55
13,14,8.46,1344260.0,16.54
14,15,8.11,1345860.0,16.56
15,16,7.86,1343400.0,16.53
16,17,8.37,1346280.0,16.57
17,18,5.99,1344172.0,16.54
18,19,9.48,1342672.0,16.52
19,20,7.76,1342800.0,16.52
20,21,9.41,1341556.0,16.51
21,22,8.36,1342840.0,16.53
22,23,6.06,1341580.0,16.51
23,24,7.5,1343008.0,16.53
24,25,5.76,1344772.0,16.55
25,26,6.39,1347036.0,16.58
26,27,5.62,1345252.0,16.55
27,28,6.09,1349324.0,16.61
28,29,3.93,1351184.0,16.63
29,30,5.99,1350392.0,16.62
30,31,7.04,1351248.0,16.63
31,32,4.56,1353168.0,16.65
32,33,4.19,1354120.0,16.66
33,34,5.53,1355452.0,16.68
34,35,5.4,1353136.0,16.65
35,36,5.59,1354436.0,16.67
36,37,4.01,1356576.0,16.69
37,38,4.54,1356528.0,16.69
38,39,5.26,1354644.0,16.67
39,40,3.75,1356044.0,16.69
40,41,4.81,1356300.0,16.69
41,42,5.16,1360416.0,16.74
42,43,4.86,1358904.0,16.72
43,44,6.41,1362268.0,16.76
44,45,4.89,1369020.0,16.85
45,46,4.51,1370332.0,16.86
46,47,4.09,1370596.0,16.87
47,48,3.83,1369600.0,16.85
48,49,4.41,1369056.0,16.85
49,50,4.58,1370672.0,16.87
50,51,3.95,1369884.0,16.86
51,52,5.38,1369096.0,16.85
52,53,5.4,1371048.0,16.87
53,54,4.94,1370308.0,16.86
54,55,4.61,1371168.0,16.87
55,56,4.16,1372484.0,16.89
56,57,4.86,1372672.0,16.89
57,58,4.56,1373560.0,16.9
