,time_period,cpu,rss,memory
0,1,20.5,1424204.0,17.53
1,2,20.14,1524072.0,18.76
2,3,16.98,1535336.0,18.89
3,4,14.5,1534264.0,18.88
4,5,13.41,1538508.0,18.93
5,6,11.92,1540136.0,18.95
6,7,10.54,1542480.0,18.98
7,8,11.76,1547636.0,19.05
8,9,10.45,1550584.0,19.08
9,10,9.99,1547172.0,19.04
10,11,12.24,1547960.0,19.05
11,12,8.78,1548768.0,19.06
12,13,9.14,1548436.0,19.06
13,14,9.8,1548708.0,19.06
14,15,6.82,1550744.0,19.08
15,16,8.37,1552064.0,19.1
16,17,8.14,1552096.0,19.1
17,18,9.36,1546756.0,19.03
18,19,8.82,1546368.0,19.03
19,20,7.36,1551936.0,19.1
20,21,5.97,1549544.0,19.07
21,22,8.07,1550428.0,19.08
22,23,5.79,1550804.0,19.08
23,24,7.29,1551464.0,19.09
24,25,7.43,1555992.0,19.15
25,26,5.57,1555400.0,19.14
26,27,7.68,1555256.0,19.14
27,28,9.2,1560540.0,19.2
28,29,4.81,1561968.0,19.22
29,30,6.49,1561340.0,19.21
30,31,6.38,1562568.0,19.23
31,32,4.98,1564412.0,19.25
32,33,8.23,1565240.0,19.26
33,34,5.42,1563732.0,19.24
34,35,5.01,1564876.0,19.26
35,36,5.34,1562472.0,19.23
36,37,6.62,1566140.0,19.27
37,38,6.22,1565304.0,19.26
38,39,5.96,1567796.0,19.29
39,40,5.31,1566432.0,19.28
40,41,3.93,1565484.0,19.27
41,42,5.2,1569120.0,19.31
42,43,4.73,1567572.0,19.29
43,44,6.23,1568784.0,19.31
44,45,4.71,1567968.0,19.3
45,46,5.04,1571108.0,19.33
46,47,4.64,1567260.0,19.29
47,48,5.86,1570432.0,19.33
48,49,5.49,1570684.0,19.33
49,50,6.14,1574612.0,19.38
50,51,7.34,1573256.0,19.36
51,52,4.86,1576040.0,19.4
52,53,4.89,1572352.0,19.35
53,54,4.72,1575788.0,19.39
54,55,4.5,1572172.0,19.35
55,56,7.34,1580336.0,19.45
56,57,4.63,1578184.0,19.42
57,58,4.69,1578832.0,19.43
