,time_period,cpu,rss,memory
0,1,21.41,975948.0,12.01
1,2,16.61,995780.0,12.25
2,3,14.42,998056.0,12.28
3,4,11.66,1004704.0,12.36
4,5,14.52,1003804.0,12.35
5,6,10.82,1006300.0,12.38
6,7,11.74,1010240.0,12.43
7,8,10.55,1013940.0,12.48
8,9,11.99,1016068.0,12.5
9,10,10.52,1016984.0,12.52
10,11,10.35,1021612.0,12.57
11,12,11.02,1025180.0,12.62
12,13,7.75,1020636.0,12.56
13,14,6.56,1024372.0,12.61
14,15,8.17,1020464.0,12.56
15,16,8.38,1021416.0,12.57
16,17,5.72,1021524.0,12.57
17,18,6.0,1023992.0,12.6
18,19,9.62,1022020.0,12.58
19,20,6.92,1024376.0,12.61
20,21,5.72,1024600.0,12.61
21,22,6.84,1031008.0,12.69
22,23,5.24,1030724.0,12.68
23,24,5.51,1032240.0,12.7
24,25,5.41,1037080.0,12.76
25,26,6.29,1045548.0,12.87
26,27,5.79,1042844.0,12.83
27,28,5.09,1045192.0,12.86
28,29,3.9,1045540.0,12.87
29,30,5.54,1049764.0,12.92
30,31,5.26,1048308.0,12.9
31,32,5.41,1048184.0,12.9
32,33,5.19,1046656.0,12.88
33,34,5.6,1048788.0,12.91
34,35,6.69,1050920.0,12.93
35,36,6.29,1051432.0,12.94
36,37,5.78,1049388.0,12.91
37,38,5.17,1052692.0,12.95
38,39,4.81,1051068.0,12.93
39,40,4.41,1053216.0,12.96
40,41,6.5,1052288.0,12.95
41,42,5.29,1053848.0,12.97
42,43,4.3,1052616.0,12.95
43,44,4.56,1055080.0,12.98
44,45,8.06,1054744.0,12.98
45,46,4.46,1055444.0,12.99
46,47,4.41,1056168.0,13.0
47,48,5.26,1057088.0,13.01
48,49,5.03,1055956.0,12.99
49,50,4.74,1058668.0,13.03
50,51,4.52,1057440.0,13.01
51,52,4.49,1060412.0,13.05
52,53,6.05,1057704.0,13.02
53,54,4.74,1063636.0,13.09
54,55,7.15,1065080.0,13.11
55,56,6.59,1064584.0,13.1
56,57,6.17,1064740.0,13.1
57,58,5.34,1065700.0,13.11
