,time_period,cpu,rss,memory
0,1,19.4,1417152.0,17.44
1,2,18.05,1443124.0,17.76
2,3,14.74,1445068.0,17.78
3,4,14.9,1499744.0,18.46
4,5,12.4,1503888.0,18.51
5,6,11.34,1508272.0,18.56
6,7,7.97,1508312.0,18.56
7,8,9.58,1509916.0,18.58
8,9,11.76,1514124.0,18.63
9,10,9.1,1516144.0,18.66
10,11,8.9,1518216.0,18.68
11,12,10.32,1517544.0,18.68
12,13,9.13,1519992.0,18.71
13,14,8.24,1517152.0,18.67
14,15,8.1,1518320.0,18.68
15,16,7.48,1518432.0,18.69
16,17,7.36,1516032.0,18.66
17,18,7.74,1517220.0,18.67
18,19,10.58,1520872.0,18.72
19,20,6.22,1520584.0,18.71
20,21,7.21,1523336.0,18.75
21,22,6.53,1517092.0,18.67
22,23,5.46,1517656.0,18.68
23,24,6.0,1519208.0,18.7
24,25,6.33,1513356.0,18.62
25,26,4.74,1515516.0,18.65
26,27,5.52,1512944.0,18.62
27,28,6.05,1510244.0,18.59
28,29,4.63,1511532.0,18.6
29,30,7.83,1511696.0,18.6
30,31,7.04,1514148.0,18.63
31,32,9.83,1512648.0,18.61
32,33,6.06,1514652.0,18.64
33,34,5.54,1514136.0,18.63
34,35,5.8,1515756.0,18.65
35,36,5.37,1517316.0,18.67
36,37,5.84,1516604.0,18.66
37,38,6.18,1518912.0,18.69
38,39,5.02,1520448.0,18.71
39,40,4.91,1518476.0,18.69
40,41,7.34,1519652.0,18.7
41,42,5.31,1520908.0,18.72
42,43,6.84,1521704.0,18.73
43,44,5.27,1521088.0,18.72
44,45,4.86,1523812.0,18.75
45,46,5.6,1522660.0,18.74
46,47,4.96,1524868.0,18.77
47,48,4.95,1527276.0,18.79
48,49,5.33,1526864.0,18.79
49,50,7.04,1532724.0,18.86
50,51,6.77,1532312.0,18.86
51,52,5.23,1531320.0,18.84
52,53,8.36,1531160.0,18.84
53,54,4.99,1532172.0,18.86
54,55,5.36,1530848.0,18.84
55,56,6.21,1529336.0,18.82
56,57,5.99,1534940.0,18.89
57,58,5.11,1535048.0,18.89
