,time_period,cpu,rss,memory
0,1,17.96,1242892.0,15.3
1,2,16.68,1295108.0,15.94
2,3,15.03,1303824.0,16.05
3,4,14.15,1309660.0,16.12
4,5,12.71,1312904.0,16.16
5,6,12.49,1316328.0,16.2
6,7,10.69,1318492.0,16.23
7,8,8.97,1317848.0,16.22
8,9,8.09,1320392.0,16.25
9,10,9.64,1319884.0,16.24
10,11,10.03,1330956.0,16.38
11,12,9.98,1332400.0,16.4
12,13,9.87,1331192.0,16.38
13,14,7.79,1331360.0,16.38
14,15,9.63,1335312.0,16.43
15,16,6.45,1331072.0,16.38
16,17,5.83,1331800.0,16.39
17,18,8.17,1330688.0,16.38
18,19,8.85,1333604.0,16.41
19,20,10.06,1333224.0,16.41
20,21,7.21,1335392.0,16.43
21,22,5.39,1333476.0,16.41
22,23,6.1,1333792.0,16.41
23,24,6.17,1332880.0,16.4
24,25,7.31,1336380.0,16.45
25,26,7.17,1339136.0,16.48
26,27,6.45,1340148.0,16.49
27,28,6.09,1340044.0,16.49
28,29,3.53,1340048.0,16.49
29,30,5.85,1340872.0,16.5
30,31,6.13,1341608.0,16.51
31,32,5.99,1341356.0,16.51
32,33,5.51,1341388.0,16.51
33,34,6.59,1340492.0,16.5
34,35,6.28,1343512.0,16.53
35,36,5.81,1340780.0,16.5
36,37,4.93,1346712.0,16.57
37,38,5.94,1352600.0,16.65
38,39,6.08,1356524.0,16.69
39,40,4.23,1354320.0,16.67
40,41,6.86,1357396.0,16.7
41,42,6.41,1355848.0,16.69
42,43,5.24,1357072.0,16.7
43,44,6.26,1362036.0,16.76
44,45,6.75,1361992.0,16.76
45,46,7.47,1362320.0,16.77
46,47,4.63,1365224.0,16.8
47,48,4.53,1362964.0,16.77
48,49,4.82,1365148.0,16.8
49,50,4.88,1366400.0,16.82
50,51,8.03,1368476.0,16.84
51,52,6.4,1367508.0,16.83
52,53,7.01,1369072.0,16.85
53,54,5.79,1366740.0,16.82
54,55,5.52,1370452.0,16.87
55,56,5.16,1367580.0,16.83
56,57,6.51,1370792.0,16.87
57,58,4.46,1369636.0,16.86
