,time_period,cpu,rss,memory
0,1,21.36,1470816.0,18.1
1,2,16.96,1479472.0,18.21
2,3,15.8,1496552.0,18.42
3,4,9.52,1499168.0,18.45
4,5,11.42,1534960.0,18.89
5,6,10.16,1537748.0,18.92
6,7,9.5,1535380.0,18.89
7,8,8.21,1536532.0,18.91
8,9,8.74,1535576.0,18.9
9,10,7.49,1537764.0,18.92
10,11,11.27,1555040.0,19.14
11,12,8.87,1540444.0,18.96
12,13,6.24,1539996.0,18.95
13,14,6.88,1539376.0,18.94
14,15,6.26,1541184.0,18.97
15,16,7.67,1541576.0,18.97
16,17,9.39,1546504.0,19.03
17,18,4.69,1548852.0,19.06
18,19,6.47,1552224.0,19.1
19,20,9.18,1550092.0,19.08
20,21,6.69,1546008.0,19.03
21,22,6.38,1546616.0,19.03
22,23,6.5,1550380.0,19.08
23,24,4.56,1549192.0,19.06
24,25,5.71,1545344.0,19.02
25,26,5.2,1544280.0,19.0
26,27,6.53,1549504.0,19.07
27,28,5.74,1557200.0,19.16
28,29,4.26,1560464.0,19.2
29,30,4.29,1558404.0,19.18
30,31,5.11,1558580.0,19.18
31,32,4.78,1557328.0,19.16
32,33,5.24,1559704.0,19.19
33,34,5.12,1554848.0,19.13
34,35,3.91,1555420.0,19.14
35,36,5.29,1555984.0,19.15
36,37,4.43,1556048.0,19.15
37,38,7.2,1556220.0,19.15
38,39,4.87,1556464.0,19.15
39,40,3.81,1556236.0,19.15
40,41,4.76,1555924.0,19.15
41,42,5.51,1555876.0,19.15
42,43,4.68,1557368.0,19.17
43,44,3.96,1559016.0,19.19
44,45,4.79,1560004.0,19.2
45,46,4.63,1557752.0,19.17
46,47,3.98,1560244.0,19.2
47,48,4.42,1558944.0,19.18
48,49,6.19,1559612.0,19.19
49,50,4.39,1559644.0,19.19
50,51,3.7,1560160.0,19.2
51,52,4.81,1563272.0,19.24
52,53,7.04,1562352.0,19.23
53,54,4.6,1562964.0,19.23
54,55,6.71,1577208.0,19.41
55,56,5.62,1576884.0,19.41
56,57,4.21,1574976.0,19.38
57,58,5.01,1579272.0,19.43
