,time_period,cpu,rss,memory
0,1,24.4,1504364.0,18.51
1,2,19.48,1516308.0,18.66
2,3,13.02,1534960.0,18.89
3,4,11.62,1538444.0,18.93
4,5,12.72,1547140.0,19.04
5,6,11.07,1545416.0,19.02
6,7,11.21,1552676.0,19.11
7,8,12.15,1552224.0,19.1
8,9,11.3,1552532.0,19.11
9,10,9.33,1551468.0,19.09
10,11,13.07,1550240.0,19.08
11,12,7.95,1551264.0,19.09
12,13,8.92,1551848.0,19.1
13,14,9.52,1551412.0,19.09
14,15,7.67,1555692.0,19.14
15,16,9.94,1557256.0,19.16
16,17,7.3,1560916.0,19.21
17,18,8.63,1562144.0,19.22
18,19,7.82,1561292.0,19.21
19,20,7.79,1562196.0,19.22
20,21,6.24,1561008.0,19.21
21,22,7.48,1562068.0,19.22
22,23,6.53,1562392.0,19.23
23,24,6.58,1563100.0,19.24
24,25,6.53,1562188.0,19.22
25,26,6.93,1566068.0,19.27
26,27,8.0,1581208.0,19.46
27,28,6.93,1582596.0,19.48
28,29,3.56,1581160.0,19.46
29,30,7.85,1584480.0,19.5
30,31,7.18,1584744.0,19.5
31,32,5.26,1584076.0,19.49
32,33,5.83,1585924.0,19.52
33,34,5.81,1585464.0,19.51
34,35,6.62,1585116.0,19.51
35,36,6.86,1590592.0,19.57
36,37,5.1,1589776.0,19.56
37,38,5.72,1588260.0,19.55
38,39,5.59,1591340.0,19.58
39,40,6.73,1590976.0,19.58
40,41,5.71,1591432.0,19.58
41,42,4.99,1590788.0,19.58
42,43,6.17,1588744.0,19.55
43,44,5.54,1590652.0,19.57
44,45,5.12,1591104.0,19.58
45,46,4.98,1592020.0,19.59
46,47,8.84,1591944.0,19.59
47,48,6.01,1592792.0,19.6
48,49,8.89,1599760.0,19.69
49,50,6.43,1598180.0,19.67
50,51,7.52,1600160.0,19.69
51,52,4.61,1601816.0,19.71
52,53,6.34,1599396.0,19.68
53,54,5.24,1602352.0,19.72
54,55,4.16,1601428.0,19.71
55,56,5.69,1598940.0,19.68
56,57,5.74,1603836.0,19.74
57,58,5.93,1600444.0,19.7
