,time_period,cpu,rss,memory
0,1,21.49,1107200.0,13.63
1,2,17.92,1128624.0,13.89
2,3,14.5,1134856.0,13.97
3,4,15.51,1137176.0,13.99
4,5,13.25,1168720.0,14.38
5,6,10.87,1143600.0,14.07
6,7,10.28,1146736.0,14.11
7,8,9.17,1147656.0,14.12
8,9,8.76,1152092.0,14.18
9,10,9.6,1152332.0,14.18
10,11,9.55,1150492.0,14.16
11,12,9.59,1155080.0,14.21
12,13,8.25,1153624.0,14.2
13,14,8.19,1151464.0,14.17
14,15,7.04,1154888.0,14.21
15,16,6.95,1157060.0,14.24
16,17,7.28,1155924.0,14.23
17,18,7.3,1159468.0,14.27
18,19,9.38,1163536.0,14.32
19,20,6.96,1160988.0,14.29
20,21,7.22,1162164.0,14.3
21,22,9.31,1156996.0,14.24
22,23,6.82,1159840.0,14.27
23,24,5.69,1158484.0,14.26
24,25,7.04,1159988.0,14.28
25,26,6.09,1160268.0,14.28
26,27,6.1,1161072.0,14.29
27,28,6.89,1162900.0,14.31
28,29,4.24,1163656.0,14.32
29,30,7.62,1163592.0,14.32
30,31,4.82,1166268.0,14.35
31,32,4.53,1165460.0,14.34
32,33,4.75,1165680.0,14.35
33,34,5.09,1169836.0,14.4
34,35,4.89,1167056.0,14.36
35,36,5.73,1169848.0,14.4
36,37,5.11,1169716.0,14.39
37,38,5.32,1171168.0,14.41
38,39,5.62,1172640.0,14.43
39,40,5.99,1173520.0,14.44
40,41,6.28,1172288.0,14.43
41,42,8.09,1176200.0,14.47
42,43,5.65,1175232.0,14.46
43,44,4.96,1175520.0,14.47
44,45,5.43,1177676.0,14.49
45,46,6.72,1176952.0,14.48
46,47,5.1,1175976.0,14.47
47,48,4.47,1178580.0,14.5
48,49,6.07,1176588.0,14.48
49,50,5.44,1180012.0,14.52
50,51,4.54,1180948.0,14.53
51,52,6.44,1181608.0,14.54
52,53,5.82,1181460.0,14.54
53,54,7.13,1182676.0,14.55
54,55,5.24,1181920.0,14.54
55,56,5.06,1181812.0,14.54
56,57,5.77,1181180.0,14.54
57,58,5.93,1188708.0,14.63
