,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d
0,26.0,42.0,41.0,46.0,29.0,46.0,14.0,16.0,10.0,22.0,13.0,27.0
1,10.0,16.0,35.0,18.0,16.0,43.0,36.0,48.0,15.0,12.0,21.0,21.0
